,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,Tc_1,Tmin_1,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1
27,162.21378337878133,-0.019163232456764073,127.160741707134,-121.31580519279606,550.7331956893447,0.1291064011974102,2.084956536571576,0.9605620744142728,165.17880167930343,-36120.38255415099,0.43907810227804334,0.6813328132119395,0.01847106148904988,True,1,115.36632658684142,66.03632794505812,92.33129826008451,13953.505905475151,224.35473144478183,125.61728129593916,-1.3437273191813024e-06,2.7782571966397596,57408889.93855566,29232335.12298229,0.023792033300229144,880.1508280689274,0.7135791956313314,0.6891240889545165,0.007268264365922236,8.427054340667541e-17,0.0019421403863518847,89.56251636966637,True,11489.83939038364,125.81466520139544,226.64548375445682,2.5429260325698766,2.6082083426367264e-06,59299651.76308434,32572792.98254177,0.027848867328410788,651.2148301918968,0.7411420050191949,0.6970128673853601,0.007523816919329437,1.3551268068835953e-15,0.029667280942784032,0.6923688137460033,0.039163326719114114,0.0,203.7905802840341,0.03916330475550177,0.3552524082196201,4.649639066212355,123.58381089643702,Detonation,0.012038941503284262,0.5773502691896258,0.4811645426619577,0.6924222918498869,1.207171074209051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,133.32935600448434,0.15567327735521375,-110.42433503891722,135.62302559227768,-765.2314001359938,0.12949630676320992,2.6654460612220743,1.2401948114144878,434.44235595538254,-51635.39339979087,0.4509244191026188,0.8730606505412665,-0.01476502276020811,True,1,102.8648201910923,74.83643861410154,85.68919813698565,12977.197471320727,228.91451875212303,-109.50763951369335,-1.3779541932816532e-06,-3.60497972162773,43572493.75492719,19917889.386271685,0.02453967381254257,1448.1771145957166,0.6761070273258679,0.6906403398084754,0.011066798715414744,3.673174761628104e-17,0.00042718265615067336,83.92935811664233,True,10458.523501490694,-109.5930288423254,230.18039954618726,-3.4984438068670047,5.6449145894234235e-06,44574768.14406088,21823799.580036893,0.027339909642056803,1146.127317846816,0.6997141167148039,0.6960663025119267,0.014845191110879813,2.1024080748510359e-16,0.0013755862816107068,0.5144036902542297,0.09341615951703998,0.0,225.34972796815129,0.09341612832253868,0.9999999999999996,-3.86038336804205,-109.28413422931419,Detonation,0.02072444799683365,0.5144036902542297,0.4354018132777436,0.5842760578027065,1.054558454562197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,156.5771092743364,-0.017930548054982676,127.02804544721458,-125.177152455022,523.1399039993721,0.12909761420480245,1.8933096023928797,0.9905129784530576,-84.30913518157922,-35748.686899146436,0.4403216631166888,0.6384128970070628,-0.0004527719607715086,True,1,113.01450701044322,59.58510405174034,88.28769967639171,13358.779595720127,227.51708431291385,125.81681848049809,-3.0199949316875166e-06,2.466630121331388,56779913.84070756,30879235.32234028,0.028283215668486076,760.618323523168,0.7374556443552084,0.6978116902445536,0.006010207204097383,1.872145312938804e-16,0.005495656442618835,85.2659832876296,True,10935.762542893084,125.99018758201477,229.74904647240587,2.239068789460781,-7.652509144724785e-07,58632631.75184758,34368367.64908753,0.03370029853457974,559.4535075070082,0.7656138102128391,0.7071503882753848,0.006079837139272749,2.890886697165831e-15,0.0835788602829601,0.7015430292100362,0.03781282656842151,0.0,207.9842209934069,0.03781280634745506,0.3597749593993851,4.226732728681953,124.06283168661504,Detonation,0.01355981874127884,0.5773502691896258,0.4748707628375196,0.7015947903921012,1.2251050203639304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,857.2206150483063,0.22041323874362195,194.0153169251684,-606.8427920573994,147.56384622592458,0.4126453970399676,8.425237359549191,-0.0843192408597903,-94311.49700223713,191161.9922328824,0.5373108787295693,2.0922561330773317,0.4124344316369836,True,1,104.2246552769256,0.0,83.9338007654396,12718.29561671428,231.15723035033474,190.7620877715937,-6.0439235418804055e-05,153.05977843525136,47037830.13017202,22861840.89627278,0.028844347851049345,701.4491342511212,0.6971591942878275,0.6988317649333449,0.005264543036982457,2.3094337816933107e-16,0.007796206981979517,83.9290081458473,True,12714.135446404516,190.76282072964042,231.160639137183,153.0596330528451,-6.593017514704266e-05,47039968.5660708,22866771.77318847,0.028852433736648194,700.9649845012592,0.6972185241072061,0.6988463676751913,0.00748060922489502,9.682763872434142e-16,0.021434414679274955,0.7031714899804042,0.0655891273441904,0.0,213.8045387478786,0.06558912143700353,0.26337596788396705,153.5972976133827,187.09697774034714,Detonation,0.013837901153278544,0.5773502691896258,0.4737545350584996,0.703226018276221,1.2283372931741352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,144.46918370324656,-0.022679575657248853,135.93826651519265,-112.04072734860908,468.2264859336607,0.12909625650732948,1.6109792101138949,0.8277417189562014,242.4825178021556,-33773.02132137304,0.4335388484555833,0.5407017556878406,0.02277018646882674,True,1,110.55554978492032,67.72230986998268,86.43127653066513,13085.471656741318,228.96565310944638,134.4971992507501,-2.6758548178449293e-06,2.4062513072399137,54676764.98868531,29848259.86619754,0.0297211407882072,872.9073830234997,0.7388531053802613,0.7003996418730742,0.006743951793266547,1.6896221167919058e-16,0.004301367302935154,83.47700487107207,True,10444.863923635983,134.6947483499439,231.0271227319564,2.1966369557749923,-3.1002317688211603e-06,56397489.391311206,33183757.14513721,0.035368785701873844,655.7451058013066,0.7670662814977853,0.7098206040413798,0.006981069489329556,2.403473118934847e-15,0.05872497371791529,0.7038090173932571,0.03993938783654105,0.0,210.34834089140114,0.03993936770322445,0.4380272083887929,4.081489426878317,132.48491387315718,Detonation,0.01394187241964002,0.5773502691896258,0.4733397470893132,0.7038606873460289,1.2295888909738273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,135.80461613422702,-0.02044063304040804,113.58527196171819,-139.45716465350728,589.5351753451296,0.12908372909099214,1.8677426775874044,1.2298177669494037,-82.62495838580708,-42803.70951199088,0.4502857534137981,0.6719052972217516,-0.07336007621120255,True,1,105.50293788759147,61.103810948654825,83.59643592869591,12668.244318726003,230.33115276598625,113.17869931632534,2.359632313559953e-06,2.70062817598154,48347403.58899804,25642537.87848468,0.03014255220190915,906.5297416137512,0.7282725231301385,0.7011422683528545,0.006782904584356633,1.645415816405368e-16,0.004167440691664842,81.22648601874356,True,10441.16273795987,113.22978521399773,231.93019231082576,2.5597661527145945,-4.0132721534735095e-06,49628055.90222718,28169524.017944094,0.03482645842019197,688.78982896754,0.753400879752168,0.7089622825506885,0.0071027366554699874,2.010288530356477e-15,0.04778167508439636,0.7043433553788487,0.04167523845289719,0.0,212.7593334745578,0.04167522084787676,0.4721190602029605,4.074337997769547,112.445506498938,Detonation,0.014031519612057244,0.5773502691896258,0.4729832019148915,0.7043944284512109,1.2306469407037903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,128.9891176395453,-0.01977198998402259,117.48409603793637,-135.33938298564487,530.6180682408916,0.12907729032346393,1.5962189151119457,1.1526574859468588,-121.49253423430763,-40286.83326925467,0.4470675223215946,0.5911643097691296,-0.07901122236906899,True,1,104.42853768482644,59.81800636280365,81.92684013967937,12422.031999813289,231.4424932901529,117.150198969745,2.812013370203923e-07,2.6010528053609154,47884037.445797704,26095305.04006399,0.032436440757373494,873.8208500189422,0.7382200017993197,0.7050673023004492,0.006403290449305502,2.1990731651390074e-16,0.0059849782387457395,79.59144810113494,True,10284.493162419029,117.19146720061165,232.9412986621783,2.4675552965387637,1.565380884712041e-05,49087144.34827732,28532391.883467004,0.03745351523382659,673.233755466945,0.7624040704125493,0.713038367225717,0.006782904584356633,2.4494177236151147e-15,0.0621552438693714,0.7087105500078988,0.041796143158789205,0.0,214.4338737768265,0.0417961260695514,0.477526588265372,3.9438686138704813,116.54367237293171,Detonation,0.014774256803315938,0.5773502691896258,0.4700670344911223,0.7087609757235911,1.2393594000966772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,151.16165559726886,-0.020542756053892046,131.81323498110814,-123.00778882966308,469.6778098697163,0.12909916427405851,1.6251745642710396,0.93775543741643,-242.15776917644507,-33534.647329525185,0.4381242072747907,0.5625862139704982,-0.006176343929351347,True,1,112.10375606507573,54.92313619497461,85.39834899027363,12933.025811061509,229.6443162350205,130.76801572835967,5.707153392356528e-06,2.2691199345173505,57377680.60062024,33059706.63358407,0.032769409860657815,670.7797384673244,0.7590633160572225,0.7056213556351488,0.005115103517401098,3.6938237470007214e-16,0.012781152024350428,82.18940991879602,True,10669.221392858137,130.92823940651078,231.81767000108482,2.0424435582982703,-3.7223719085369743e-06,59193215.10668917,36644184.38917244,0.039573107121511415,491.7285460143689,0.7868040108583754,0.7161854449662326,0.0050857285562410925,5.326527732603756e-15,0.1853322198085447,0.7104759516622697,0.03737067762452264,0.0,210.92525463362168,0.037370658562954816,0.34684443256388114,3.990238925646657,129.18912692185674,Detonation,0.015079645514885776,0.5773502691896258,0.4688868569725347,0.7105282502648211,1.2429148891471744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,151.16165559726886,-0.020542756053892046,131.81323498110814,-123.00778882966308,469.6778098697163,0.12909916427405851,1.6251745642710396,0.93775543741643,-242.15776917644507,-33534.647329525185,0.4381242072747907,0.5625862139704982,-0.006176343929351347,True,1,112.10375606507573,54.92313619497461,85.39834899027363,12933.025811061509,229.6443162350205,130.76801572835967,5.707153392356528e-06,2.2691199345173505,57377680.60062024,33059706.63358407,0.032769409860657815,670.7797384673244,0.7590633160572225,0.7056213556351488,0.005115103517401098,3.6938237470007214e-16,0.012781152024350428,82.18940991879602,True,10669.221392858137,130.92823940651078,231.81767000108482,2.0424435582982703,-3.7223719085369743e-06,59193215.10668917,36644184.38917244,0.039573107121511415,491.7285460143689,0.7868040108583754,0.7161854449662326,0.0050857285562410925,5.3249814488761995e-15,0.1852805099019062,0.7104847700695933,0.037371050376587236,0.0,210.9241211606784,0.03737103131477989,0.3468503669454765,3.9902915803870806,129.18899215299,Detonation,0.015079095882066426,0.5773502691896258,0.4688889715060995,0.7105355955398545,1.2429262150496443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,632.5010936500188,-0.14017154949287572,-195.39090328434867,1006.1592837148196,-694.6109032972536,0.19097004992499456,4.874698600882241,4.0439687090730825,-107824.30848187619,16879.043680939125,0.5984852030859525,1.8926694350660738,-0.6477322093799426,True,1,106.08373398957151,0.0,83.36738242552313,12634.35742381006,231.43922297632943,-193.32045189809696,-3.539606732789735e-06,-154.82354996309186,51334839.21678165,26863104.16050041,0.03236827220964002,557.9828442454234,0.7233891573238485,0.704953398143342,0.004157281232232297,4.979443601512601e-16,0.020233530768637882,82.40937498374056,True,12061.388131781667,-193.4121342667001,232.07898429930415,-154.7891191598911,3.971509975793216e-06,51734210.46268594,27863701.12702173,0.03420842536631511,494.87840267615996,0.7338891867889432,0.7079729459469809,0.005144648147141248,2.8816840289564967e-15,0.09965174233988164,0.7112700173438036,0.03677141852287042,0.0,213.7825720960713,0.03677140770132279,0.07471507574894568,-155.42218927587982,-190.8363326432804,Detonation,0.015213489484147838,0.5773502691896258,0.4683729440777701,0.7113203703424668,1.244506622512663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
