,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vwf_2,xi_J_2,v_calculable_2
519,158.5753994992385,-0.01662695530115212,116.60844631178406,-135.45132011342943,460.38961592899017,0.12909575517977054,1.6041243028561136,1.1670911604891263,-34.922694123364636,-31706.49487690416,0.4476781578556757,0.5955462691288828,-0.08318545246521344,True,217.39282597375401,115.62855237593205,2.2178012368109266e-05,3.6610861206073366,99.13174764117669,74.39270233062916,0.017504009634361342,1.0,0.017504009634361342,74.39270233062916,hs-SNR,,,,,,,,,,,,,,,0.6671616753578979,0.6749692794648732,True,,,,,,,
522,147.81320047290671,0.1725331286297849,-113.27617454704688,122.9032083488847,-932.5072398135968,0.13058175611537792,3.678990606333977,1.1225944707342663,1195.4155679094501,-57284.14591389566,0.4465671295836936,1.106846730039205,0.04494560746950492,True,224.00988441448527,-111.45846163991352,-1.0594694992570052e-05,-4.094180079287337,92.77847861652266,35.046179622054986,0.01759054522922985,1.0,0.01759054522922985,35.046179622054986,hs-SNR,,,,,,,,,,,,,,,0.6023584639559305,0.6751842009280306,True,,,,,,,
525,155.79235900754813,-0.016844320085230933,113.0805904898082,-137.12766460101423,498.5920446982066,0.12909427765994902,1.71646827110862,1.2178709493540012,105.09190931794636,-34274.12345578348,0.4497932436318015,0.6320955593361551,-0.08693209379206326,True,218.2901558197652,112.2554604435622,-3.7603468956704094e-06,3.4815904894990837,98.10757164215971,69.04232780347701,0.017708765673179704,1.0,0.017708765673179704,69.04232780347701,hs-SNR,,,,,,,,,,,,,,,0.6638453536286169,0.6754767566724881,True,,,,,,,
526,130.5172123051719,-0.020043773522853983,117.96757972074907,-120.29801667453518,485.9337943366834,0.12907869272433606,1.5612097856930345,1.020712004441689,735.0594858118811,-35569.08465476016,0.4415704951259819,0.5604211138302068,-0.03775554786891056,True,220.849279486662,116.65437646306543,3.331071680955682e-07,3.5045447936104184,95.41100605042948,47.259008671163734,0.01775415268534222,1.0,0.01775415268534222,47.259008671163734,hs-SNR,,,,,,,,,,,,,,,0.6405186563755338,0.6755887517218565,True,,,,,,,
528,143.7149694046865,0.19996957246395006,-116.24397400964571,120.23940203146614,-806.6966981180136,0.13070360982092066,3.0667965457711017,1.0684274171947563,1164.0692000856188,-51300.8927550566,0.4443710958723187,0.9447703726419014,0.0376474575153856,True,223.2503266159444,-114.55573755787792,1.120326565974399e-06,-3.844462691474706,93.63625704906565,37.86579935584466,0.01775996106766626,1.0,0.01775996106766626,37.86579935584466,hs-SNR,,,,,,,,,,,,,,,0.6180291344186828,0.6756030713846671,True,,,,,,,
530,161.73109218745742,0.17202373789393058,-111.61858119034835,131.81814319078316,-933.6052087526638,0.13161426160807632,3.783088613812129,1.2454668170780137,1022.82413671423,-55120.56015835705,0.4522030634276989,1.1533499562993677,0.029106248262907582,True,221.0880612734362,-110.98805210073995,-3.450377237491348e-06,-3.810152810439936,96.27194637282541,48.5198226021068,0.017783905150339282,1.0,0.017783905150339282,48.5198226021068,hs-SNR,,,,,,,,,,,,,,,0.6471828837293715,0.6756620710681239,True,,,,,,,
531,115.92714350360022,-0.018622628192554884,114.05678794027195,-119.97546770251594,612.3199097899802,0.12906777913371972,1.9755311858270608,1.0504281608526806,971.8388477102964,-44184.03078546432,0.44280321151446506,0.6689541565988788,-0.01056546596871133,True,224.03591216091,112.27292041413557,-4.964812351932597e-06,3.646621097285722,91.5428755190906,33.138664560165076,0.017795719485851794,1.0,0.017795719485851794,33.138664560165076,hs-SNR,,,,,,,,,,,,,,,0.6017707287000694,0.6756911641130746,True,,,,,,,
227,745.9976412381244,-0.15725617657685315,-191.4661591342397,929.0922456307736,-427.54891501968285,0.2384987722615301,6.5200660378579745,3.077782013469938,-107018.6023926526,103372.64653655722,0.5819917852707559,2.14298017837615,-0.12471618857769814,True,221.6524006543152,-187.63334472647625,9.53888061152149e-06,-157.08474338051238,94.97000037580518,119.72475683326469,0.017865368985147366,1.0,0.017865368985147366,119.72475683326469,hs-SNR,,,,,,,,,,,,,,,0.6045951602228772,0.6758624337299968,True,,,,True,,,
533,161.29667018862304,-0.018268806730349144,125.88434634804504,-117.94293649735495,503.13348433270204,0.1291026395480305,1.9232346976561827,0.9430257918598484,450.3176625511596,-32674.182036761933,0.43834554301358575,0.6379796397240204,0.013503429894020577,True,217.93455818890962,123.88655462284777,5.98897588951142e-07,3.6300757200948297,99.18461124657551,64.24229933690573,0.01786902321201585,1.0,0.01786902321201585,64.24229933690573,hs-SNR,,,,,,,,,,,,,,,0.6721243748588698,0.6758714080744564,True,,,,,,,
534,126.9004953139591,-0.020484514016456828,115.86551056962,-119.69600304620356,565.1170205135272,0.1290756749820412,1.8723512958964856,1.0333873404242313,891.7289803161821,-40331.67311787768,0.4420971252541071,0.6403190473781599,-0.013511001686152936,True,222.461217205935,114.1235505024618,4.884384311027073e-06,3.6273899587739495,93.60405716477713,40.01858998882416,0.01791593091821943,1.0,0.01791593091821943,40.01858998882416,hs-SNR,,,,,,,,,,,,,,,0.6259824985196564,0.6759865065047431,True,,,,,,,
