,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
354,790.6646437731963,-0.2140925172249786,-221.17524779118682,753.3298913840927,-605.5212925431317,0.3560225513124628,6.422283686573344,1.0822250000191744,-118567.4112721862,109813.98089391468,0.5576054659024405,1.785941754979865,0.3104308658690481,True,1,104.45189976410465,0.0,86.96675263989077,13165.19185062029,228.727054803861,-217.49858224719222,2.927591493329733e-05,-181.07039505603163,46563067.93652332,20584449.648942232,0.024676409272263528,928.7640177788146,0.6648885229654983,0.6909143996496567,0.007226524255927729,8.55672713000119e-17,0.001991108055876129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,384.8964875825502,0.19460295112030107,326.76237045339377,-929.457577262217,76.74679929437062,0.16994480640169554,0.3842771373872639,2.531968347242033,-158236.90497301175,6482.407855051846,0.5249725662480094,0.5180640088871548,-4.0007845238829605,True,1,107.87445250280874,0.0,90.17213634219158,13636.473402031474,226.17433855657958,322.90011421004374,3.890826193870815e-06,261.71992620749995,54684281.39002833,24686380.44222009,0.024975677042593267,961.9601263931696,0.6718888810761423,0.6915108057495393,0.007743627834595909,8.309814666737274e-17,0.00174513980745865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,415.496523070776,0.2131325403788502,303.83304989264184,-878.4050535031444,72.98965688473851,0.18701416581060043,0.5425445578642355,2.4572019837264922,-142135.01396731165,14758.494968709587,0.5303919808059809,0.5451698034204743,-2.595172799900471,True,1,106.48317120493522,0.0,89.30824642992866,13509.508438967521,226.88356988851004,299.762616763745,5.821941652727911e-07,243.28979162514204,52646847.64619839,23521056.184831977,0.025014941726719864,998.9210321121753,0.6684088995848779,0.6915887108385611,0.00796986060182772,7.789929254053393e-17,0.0015696599993791126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,819.5208898087633,0.230175647271456,195.1110983204381,-572.1286463594603,149.57354223802488,0.4107250853289292,7.58876223756343,-0.10102369983147352,-88655.67984197823,167775.8402169007,0.53565470375023,1.880353276085612,0.41038887147717873,True,1,105.03132387558237,0.0,86.65498235301197,13119.205549675136,229.2235064373151,191.2774438555511,3.798628693006009e-05,152.49825902333706,47183330.19855869,21352703.960870147,0.02537684833438217,849.369941329604,0.6727165998596315,0.6923030556548514,0.0065903647959396966,1.0986236009547861e-16,0.0028908360902549298,86.65491058614818,True,13119.132129515223,191.2774575251152,229.2235635621628,152.4982570222391,4.086305302895256e-05,47183366.4797616,21352781.611045957,0.0253769542137345,849.3609995397662,0.6727175644022485,0.6923032636707211,0.010034615829299943,1.3004947882385403e-15,0.01800027772979086,0.6541624788298497,0.04406837848005832,0.0,216.04797298126888,0.037736100924908214,0.32893838109653545,152.86972767875903,188.396922268394,Hybrid,0.01475049520778158,0.5773502691896258,0.4701593109838838,0.6627248234742459,1.1664562798353348
358,405.26195508716756,0.20387146581813256,302.52948037534645,-883.5016910103578,70.87927590163999,0.17931649074561734,0.49757846828272834,2.5248441141257136,-140874.1132774899,12109.68632348461,0.5293615653734569,0.5452019694249677,-3.023614407086673,True,1,106.84165681671874,0.0,89.16326259258086,13488.113058608138,227.01149730348104,298.65669729010153,-2.11304670867947e-06,240.52085087527672,53513198.097964704,24340793.730190516,0.025596874962058893,956.927097710958,0.6744300535634031,0.6927341170599889,0.007610982447334377,9.04662249899207e-17,0.0019462205221866945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,387.2854671316449,0.1944894335471875,322.3858723485398,-925.5498949522442,76.8575712800551,0.17046611601521364,0.39804510803113957,2.549987745443485,-155538.0093196528,6864.973957642826,0.5259840293131622,0.5245092345816991,-3.913516685629502,True,1,107.58417357776422,0.0,89.5094945389757,13538.969611477436,226.7352735475438,318.6365527968095,-2.966081270906771e-06,257.48889004666313,54686761.90738642,25123219.071102023,0.025745061631469408,926.7880220304991,0.6777921556175787,0.6930230754980401,0.007437649663140911,9.766653751393026e-17,0.00218705438033911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,748.0991678984124,-0.21428098630023115,-215.09298998648185,717.1410826200882,-654.5900989669827,0.3319856061851484,6.212084769839573,1.1996005593046926,-106379.1415518833,81913.64513528242,0.5504776416423465,1.7529546190106755,0.2740726206415973,True,1,104.57819827271969,0.0,86.4329911393243,13086.506304097418,229.18779852905763,-211.50744006969393,2.2122494105484022e-06,-173.4005025882624,47219187.51244807,21447658.03794372,0.025665265701612414,868.0535446062961,0.6739546642717078,0.6928676115781475,0.00670522269984386,1.0928518549513427e-16,0.002805857411845847,86.43295266345497,True,13086.466593537343,-211.50744664656844,229.18783171071613,-173.40050304676575,6.959765749594771e-07,47219207.95584464,21447700.34385562,0.02566532376989308,868.0475817384018,0.6739551830721958,0.6928677248252761,0.010150869666476737,1.2076688613132246e-15,0.01648974439637628,0.6616767505391532,0.051334865997957516,0.0,214.92274929893185,0.05133485891084985,0.2445369808094799,-173.7324160605869,-208.57124135992734,Hybrid,0.014476920922930419,0.5773502691896258,0.4712264882203818,0.6685908254601537,1.1748358141236095
361,819.2455042799322,0.22440836603858624,190.7647519808669,-578.113867194468,142.96199737497759,0.3968383374970591,7.88828701602721,0.002503590071914259,-86184.06058239372,168021.68860773204,0.5330249669136028,1.9724890190187883,0.3968381388492654,True,1,105.17139583005132,0.0,86.38310392180428,13079.175953688278,229.41824479625743,187.07089500417845,4.061928412999107e-05,148.62293828726112,47352025.23424077,21678174.422213912,0.02579861314824024,812.0806024539818,0.6766157048746654,0.6931272321051541,0.006257461685508218,1.2546666883953416e-16,0.0035029988137668024,86.38290403863982,True,13079.03689782558,187.07090082407638,229.41827216007965,148.62293795534345,3.728947127706005e-05,47352099.53601146,21678388.526495457,0.025798898989160553,812.0755933656861,0.6766185153076216,0.693127787681312,0.009310746281331984,1.1892303300036956e-15,0.01874008542339372,0.6729016837952649,0.06420838754245653,0.0,214.2675781264593,0.06420838145111363,0.2554021776112433,149.07873930073333,183.81642625936627,Hybrid,0.013999066794772756,0.5773502691896258,0.4731121566793698,0.677479105437533,1.1876099544374326
362,382.3185715425311,0.2418149145930677,146.9614892167512,-291.0832744480213,164.11200997527743,0.19081251087831483,2.379244889964469,1.1419815248757814,-18879.96262937881,1849.4876993978833,0.47749030088772515,0.7851414766370809,0.05378145024030184,True,1,111.23383111088755,69.32856117905237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,421.2351055993957,0.2070660732877416,299.4548937696917,-902.9529229439778,68.77846761099046,0.18548351632766513,0.5565238459612518,2.573792735676606,-143750.53378964454,15927.720102917345,0.5344846040624347,0.5680964174364139,-2.790313969393591,True,1,106.06149728112281,0.0,88.22060322830801,13349.457857082898,227.76138640547128,295.67520096964034,-1.4190482722119332e-06,239.69577859295924,52688185.5244503,24277080.205973327,0.026327157704202343,933.5774734962148,0.6787996430457733,0.6941477484574475,0.0073524692459622405,1.0320026451099339e-16,0.0023349296865516978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
