,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,eta_BAU
61,465.6171236184671,-0.005733120498865693,146.88442068587278,-748.8681131419028,425.4131377869783,0.9819097637276278,0.12912863353808626,2.8913618889602057,5.130238560433903,-46827.465936297216,861.134681258729,0.6038624347251107,1.5778802323123686,-2.1465591476642105,761.6987713972221,True,False,True,62.95533417346554,142.41956051825431,-0.0003106531825848006,140.44706109489056,146.1989645261064,0.5947948897374147,0.0005458584615704111,0.042981050007386536,0.5961089971674249,True,1.0,0.0005458584615704111,0.5947948897374147,noneSNR,0.10885124431427366,0.2829483132396992,0.0,61.69425835713898,0.2503717667293179,0.4514157230597911,140.446756379673,142.40887566895609,Deflagration,0.0005457843508443264,0.10885124431427366,0.10866864118598517,0.5773502671423048,1.0000339451619151,True,146.27622556745027,43.64715524898198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010390454657803008
72,129.81714804549642,0.04727166908703523,-121.69221438233606,98.70100811473516,-182.93477990745288,0.9333644725294704,0.12909629095524325,0.4905882168397311,0.8129692372347195,1833.5838445377185,-14939.085233404996,0.400715655252866,0.25814192708238604,-0.2077029624733788,316.4493973911558,True,False,True,204.1086742325304,-115.18527097118192,-1.4979059346950429e-06,-245.47011318322362,110.27138314664492,59.069565448422146,0.011518048497823322,0.6141315048762389,0.6581515711897787,True,1.0,0.011518048497823322,59.069565448422146,hs-SNR,0.6471030975070228,0.033528452414728474,0.0,177.8418921159093,0.03352842145764697,0.2100743360008422,-242.9517103265293,-110.58337379405106,Hybrid,0.007043673458804089,0.5773502691896258,0.5049070367601415,0.6493329912704361,1.1308237527406944,True,128.02304873264114,3.6824534417701154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.864512624808372
77,123.2382953295484,-0.09764419325850758,-305.1004049198645,153.5763849566787,-6.373974828471602,0.8083315628130902,0.12903804614610648,0.010104627718865262,0.5039573750363695,-15578.895445001719,-986.0993697572247,0.33336870780494204,0.08651905276911122,-6.154544162909014,418.90735812249085,True,False,True,47.38878513135045,-291.7961353895762,3.5262987905156025e-05,-306.41613241775576,156.95651311203727,0.9342490043553368,0.00021940845866391925,0.045013582042426496,0.589317266845582,True,1.0,0.00021940845866391925,0.9342490043553368,hs-SNR,0.1593145105976024,0.2222768241365808,0.0,46.61548853465751,0.19292832477789126,0.21083668109426806,-306.4157233080818,-291.81919884500013,Deflagration,0.00021938910066782944,0.1593145105976024,0.15920389593133955,0.5773498967393179,1.0000220582466697,True,157.0403531597295,37.35772767833694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032039036160876203
3,515.503541384315,0.006002011621393397,104.76406461069281,-818.2002254299092,418.80495641447783,0.9932686275638312,0.12914841331675975,3.3216350626144338,7.751736004500247,-35350.09748383287,-9182.833432810206,0.7187103303836013,2.12236476640365,-4.393429319543027,898.347435776481,True,False,True,210.2497437622066,104.34474599972022,-8.58363117806085e-06,64.33009851361017,105.76377144913162,56.890140963105964,0.014297708973091097,0.5512395659069439,0.6664932811233177,True,1.0,0.014297708973091097,56.890140963105964,hs-SNR,0.6557864356290487,0.04076973355349045,0.0,176.92224611738945,0.0407696586521216,-0.9999999999999972,66.93272114165502,103.55069780163583,Hybrid,0.008282083101348174,0.5773502691896258,0.4984558367749606,0.6578898303911285,1.1462562514812682,True,119.80377793762848,4.374531848279775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08177327883054826
25,249.87066122085147,0.007785475182927312,248.78663227358533,-497.6756524970665,56.094219601114,0.9328254964744399,0.1290974891724476,0.1273216283216267,1.9944647199182493,-54266.39163437008,-6255.1786057290665,0.4496937748797573,0.3642411937334482,-7.6816130150752056,644.0638052632797,True,False,True,93.00589806637524,240.545269774722,3.023485457063079e-05,210.42486240844121,145.5574174353505,11.288497865785756,0.001141768512323338,0.1337970965348934,0.6042734170945264,True,1.0,0.001141768512323338,11.288497865785756,hs-SNR,0.35074150905201473,0.08943266079070225,0.0,90.60571214873508,0.08143706902559389,-0.29972474303155866,210.4346943167651,240.38887752571185,Deflagration,0.0011379691027565374,0.35074150905201473,0.34907957628527697,0.5773502408731798,1.000833647812276,True,146.28278710991194,13.530986889501664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006564963197865282
31,294.6481177335488,-0.001802213139202036,-66.05286538198732,155.08597970313008,-52.86360148087915,0.9809746239745792,0.12907600282991968,2.194662641179076,2.3400197262603437,2684.727121109313,5844.440198037184,0.4871181084750677,0.9386689480048264,-0.4946750257502326,333.76696875340605,True,False,True,84.43583982093223,-54.349190651074,5.720645135999723e-05,-41.06361068160253,147.65837379199738,2.8644883871917566,0.0009554116327679074,0.08935047440300713,0.6020308515466396,True,1.0,0.0009554116327679074,2.8644883871917566,hs-SNR,0.2311721968887329,0.14092066030613346,0.0,82.95421393011063,0.1409193145689225,0.11470257858237025,-41.05487770928389,-54.26599377185104,Deflagration,0.0009544069320518043,0.2311721968887329,0.2304262363006777,0.5773502686225446,1.0002630702661912,True,147.9838310033746,19.617708386633367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010022170479170766
46,159.2222163997227,-0.005910017737869504,-162.93958036188886,96.69551874871115,-196.6010039076947,0.9415828734424526,0.129076891971362,0.7420122535033987,0.5920143835782254,-72.81795983110807,-12377.50222144807,0.3953517707702203,0.2841721273055539,0.010992241512856826,455.55108176545616,True,False,True,164.05757125191357,-152.26297561000518,1.8684102314952722e-06,-17.714942266750995,133.30164947750984,90.91558516476204,0.0045830615833674145,0.4956264435156979,0.6299283823619296,True,1.0,0.0045830615833674145,90.91558516476204,hs-SNR,0.6226874447875285,0.04959894107281308,0.0,127.96428630243307,0.04959883842844205,-0.30040629363233323,-22.508486275870514,-146.96823611854342,Hybrid,0.0033115296388581835,0.5773502691896258,0.5284975579831144,0.6242602300099145,1.0846303724522417,True,146.50313941553455,4.67472212862369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2881393224586226
67,67.544878266784,-0.004366191368986833,-104.7291520505705,42.040983390553826,-216.04889823488503,0.9796993665926576,0.12907235286898092,0.6848455675553969,0.4033028873580383,5632.484261397802,-15058.208612470493,0.4057946575453325,0.2384285397818557,0.06969647797943017,511.8067367740059,True,False,True,1.3799689685885235e-05,-166.76511741389572,-1.5188714110905757e-06,-166.46995984827598,206.52443738749557,0.003444679163180808,7.469348306731183e-07,0.0020210622103474774,0.5780554981823129,True,2.0,0.0011528752738893956,8.6808861433922,hs-SNR,0.5301640828502392,0.07054833064878098,0.0,122.8350903574078,0.07543706571056,1.2767578808920157,-198.11343274733227,-44.81503938296797,Deflagration,0.0011261836604247418,0.5301640828502392,0.5224598656109745,0.577351188641477,1.0058732892760898,True,142.24871861146954,5.5483548412185835,128.93812597326558,-47.53114759289217,79.54818569387706,-184.94152032671474,139.70398027260444,8.6808861433922,0.0011528752738893956,0.31190881579204394,0.6044007701264339,True,,,,,,,,,,,,,,,,,,,,,0.07409414681314884
70,123.08017183883457,-0.05018136197366401,92.4319138362747,-93.98537646150179,617.2310684673447,0.9894600473501868,0.12906374407699536,2.4219865235280658,1.0157085378062964,3474.811893099948,-36392.500755021465,0.4361123393513953,0.7747813871830661,0.02257431651921961,631.5871235769355,True,False,True,171.58998156277318,77.4145910037318,1.4885199876068485e-05,8.929615210130812,126.82249871873655,5.9882173038624416,0.0038844291327022585,0.2376701172699565,0.625955132901723,True,1.0,0.0038844291327022585,5.9882173038624416,hs-SNR,0.2067730020248621,0.3058922715829676,0.0,170.45043193640012,0.3058921787698414,0.9999999999999956,8.949608945053553,77.23813388563927,Deflagration,0.0038714396173357046,0.2067730020248621,0.2041378622242348,0.5773501348652064,1.0008377506223585,True,128.79056383508782,12.931340740300774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06180079578248029
78,374.0461704034881,-0.003940545527390829,-82.73366049091112,278.533009743418,101.64434826106708,0.9901245681094542,0.12909001249364696,2.1524351056824567,3.342583189230546,-3779.5820386098967,22413.955715901302,0.5334074528036564,1.0952059746257052,-1.1686102465559929,584.3242321784187,True,False,True,80.12995666970265,-73.88629113686605,-6.3787635814778585e-06,-66.96959395843132,146.77530373820753,1.620474426985396,0.0008972648137045429,0.07135066246128513,0.6012848585831011,True,1.0,0.0008972648137045429,1.620474426985396,nonesym,0.17611394156759638,0.1801956048174629,0.0,78.80002242800933,0.153768871726808,0.3051080576050788,-66.9658896618905,-73.84161699842608,Deflagration,0.0008967496148532465,0.17611394156759638,0.17560780191754455,0.5773502909126906,1.0001435985818412,True,146.98313725284353,25.156854639109305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014710740618885721
