,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,eta_BAU
2,227.70660780523684,-0.001412991170413609,-78.8279117425065,102.37054484811337,40.99507864506496,0.9802495119724336,0.12907469227150375,0.7451060347490139,1.2960227892413083,3780.7728261914745,7781.6420339556435,0.4432620540300984,0.4022803068941382,-0.4344944481927165,390.7219262030146,True,True,True,41.88899687544581,-60.755300216242844,7.977999766620926e-06,-57.45567643055743,153.29455603029294,0.3094324344920665,0.00021049452078883082,0.0279481381360495,0.5890742252160295,True,1.0,0.00021049452078883082,0.3094324344920665,nonesym,0.10267730453327273,0.34008053696948304,0.0,41.31619843079935,0.2961947010484981,0.4534782616999435,-57.455018902522106,-60.741561129701786,Deflagration,0.00021048449958595432,0.10267730453327273,0.10261105734284448,0.5773502902985351,1.000011902330082,True,153.32627860597722,55.78889561358152,,,,,,,,,,,,,,,,,,,,,0.00047588761401297
7,353.75794972078376,0.00048585147402488513,-164.73540723683217,493.42779369403024,-307.80260394169983,0.981735454999096,0.12907430924865626,1.5674141384667613,2.9965863674856656,-32800.9491268248,-8130.133686492685,0.5148475277488782,0.8912845958643012,-1.3031460652888418,850.0689651356862,True,True,True,38.95762712417713,-155.9669081976885,-6.490769173570167e-05,-154.88314300965237,150.32792708667918,0.20152672823417106,0.0001950094655562595,0.02394372464207364,0.5886391774599664,True,1.0,0.0001950094655562595,0.20152672823417106,noneSNR,0.09122380475778707,0.3927703516281347,0.0,38.286910352888185,0.34998456432882524,0.5174854926077048,-154.88301007238442,-155.96238950576858,Deflagration,0.0001950038806141712,0.09122380475778707,0.09116952709568048,0.5773502250259573,1.0000071599627776,True,150.35134281366663,62.727571520332276,,,,,,,,,,,,,,,,,,,,,6.260777778531714e-05
15,261.61505790297736,-0.0010627555947686986,109.82971988056778,-237.35179943027225,164.35187115932956,0.9502891651213892,0.12907458791323406,0.8703163464247665,2.163163995810001,-5197.842065109795,-7489.583034468262,0.4649329833642205,0.5781064192411919,-1.2150569143821752,335.1973843324053,True,True,True,88.18538339455796,100.06061863447687,4.413751218357934e-05,77.78241737076853,146.3782429811165,6.402753381550982,0.0010228586549888882,0.11407420153411645,0.6028669720175167,True,1.0,0.0010228586549888882,6.402753381550982,hs-SNR,0.2993667361915427,0.10554526215483996,0.0,86.23461205885637,0.10554415512654852,-0.14255119779413505,77.78019570691178,99.9460061595512,Deflagration,0.0010208262088576617,0.2993667361915427,0.2982259183931328,0.5773502514529613,1.00049737418881,True,146.9058332093683,15.474382561851804,,,,,,,,,,,,,,,,,,,,,0.011950909572130849
22,261.2937692810457,0.0005351913070295989,90.21917682887009,-132.36595561620172,331.3199300223992,0.974988158580986,0.12907422038308836,3.2987464897548087,1.4658918369897918,1847.6272377020325,-3079.695247970165,0.4477678959881477,1.0690019286036674,-0.0337784635399665,395.77022707712007,True,True,True,35.362696770336704,71.72627402271863,-0.0005034746082355102,69.9875886349226,154.47900042973882,0.20308481185830374,0.00014719381531276836,0.022393798062260654,0.5871709536628495,True,1.0,0.00014719381531276836,0.20308481185830374,noneSNR,0.09397953509353857,0.3825838603848572,0.0,34.857012594413426,0.3382735680792172,0.5112244800701677,69.98726825716703,71.71832253779527,Deflagration,0.00014718977400788872,0.09397953509353857,0.09393728379899158,0.5773502739343195,1.0000068640353883,True,154.49990249402947,63.12728021549863,,,,,,,,,,,,,,,,,,,,,0.0001801581415525391
16,458.4488403296184,-0.0007177065275208124,-62.90535500438103,255.38168656228527,-137.32257616085428,0.9943150690808864,0.12907492259093692,12.10146539708532,4.0507618408768895,-226.4697012115548,38974.974453602306,0.5649863007277477,3.7004933227508103,-0.20990616261417414,587.4246376642092,True,True,True,37.81944246363938,-55.552836467277146,0.000738048437534153,-54.58267277767203,155.34637101365809,0.2228839309034072,0.00017051657622264952,0.023340473011004385,0.5879133589706311,True,1.0,0.00017051657622264952,0.2228839309034072,h-sym,0.09229624331931036,0.3747103804583574,0.0,37.26553853984178,0.3292230740092202,0.5050149159678412,-54.58258168300903,-55.54858587105557,Deflagration,0.0001705110167897991,0.09229624331931036,0.09224820550138356,0.5773502976906651,1.0000081510347292,True,155.37105856334952,62.11698939989925,,,,,,,,,,,,,,,,,,,,,7.281498221731303e-05
7,369.9477228952797,-0.0014457708756301431,97.35634829220696,-377.68078252433236,53.64873372011385,0.9787389842102264,0.12907618603260276,1.2930302040040875,3.886676084821582,-10526.280651561065,7254.217022811556,0.5504669115991606,0.9710368984712856,-2.791631107104276,464.56330502117316,True,True,True,91.36543607664207,91.79638528788969,1.5767377371221037e-05,83.26606390673584,142.78376701318192,2.5350277940081583,0.0012198958124405286,0.09112459981499847,0.6051559033869571,True,1.0,0.0012198958124405286,2.5350277940081583,noneSNR,0.20413709222211074,0.146826028721711,0.0,89.48365290519466,0.1468242705295417,0.1355394645002886,83.26179965919269,91.74813046865972,Deflagration,0.0012186956937175724,0.20413709222211074,0.20331984207880693,0.5773495662576145,1.0002460983080526,True,143.1163860863359,20.332069859067236,,,,,,,,,,,,,,,,,,,,,0.014360237379174303
16,560.814250459455,-0.0003662856857383139,-78.83030682616591,543.2359409291064,188.0914743503689,0.9905469666890412,0.12907442679745318,7.308398817206899,6.885566278521744,-13605.479348104403,60072.340407733514,0.6812331135534245,2.974694084055349,-1.4927248264223918,569.2414033094244,True,True,True,134.46423174920636,-76.44554416572475,-1.5031984466969959e-05,-64.12975576861011,138.9760486746079,17.800258389381426,0.002763465383910648,0.18829083417046125,0.6186516569329044,True,1.0,0.002763465383910648,17.800258389381426,hs-sym,0.3604114273703193,0.07702963757873695,0.0,131.28627076736126,0.07702937771494504,-0.07790397952386709,-64.14998101716878,-76.35556056783867,Deflagration,0.002739799508764384,0.3604114273703193,0.35620478154984153,0.5773502458320948,1.0021524933691377,True,140.6593429002148,10.431955278397467,,,,,,,,,,,,,,,,,,,,,0.052153604695214587
21,445.91691129801694,0.0017367642187244947,110.39197924626889,-623.431167000807,92.58244311769728,0.9872697141207994,0.12907865417724498,1.5551670814356406,5.635725249345253,-26658.19978649393,8376.720934530313,0.6275380664951261,1.3280793119164525,-4.976706998253637,685.2134030638806,True,True,True,136.47052676515204,107.9582790632304,-5.091515412307137e-05,94.37271478410808,133.8377027094736,10.106008199868242,0.003119859445048123,0.18669041656081767,0.6211250247672921,True,1.0,0.003119859445048123,10.106008199868242,hs-SNR,0.331516123482616,0.08195285749310327,0.0,132.98434214148054,0.08195246100792766,-0.10310304004531662,94.35817064929181,107.86694607718368,Deflagration,0.0030957352323466142,0.331516123482616,0.3274399426556209,0.5773509671960592,1.0019425138252545,True,135.23429106342275,10.732821233600543,,,,,,,,,,,,,,,,,,,,,0.05539739704276729
24,477.175389867336,0.00015587820195349023,-81.1640385800603,361.8095652031952,16.787877890339132,0.9882102502553579,0.12907413854162247,6.92448963970806,4.459411180033271,-6853.757754416738,47028.480018881004,0.5789872250283804,2.474357606599227,-0.5888974776829401,523.8772696529021,True,True,True,48.74938102588617,-74.29256849087129,2.933787499848113e-05,-72.81494285554582,152.1030809629202,0.37882023183922797,0.00030028180497764065,0.03110540612059473,0.5913246675291031,True,1.0,0.00030028180497764065,0.37882023183922797,nonesym,0.10078474696287047,0.33680970826530543,0.0,48.03374878800611,0.2949936384596613,0.4849892553297998,-72.81478313954185,-74.28580638589604,Deflagration,0.000300263401933159,0.10078474696287047,0.10069205968466166,0.5773502371982173,1.0000153220650685,True,152.1458976861851,54.34169329369491,,,,,,,,,,,,,,,,,,,,,0.0002034671994264564
0,76.15702693560151,0.00016239488306131573,-146.52240772219338,71.88486656935204,-192.47785702868407,0.868545103906798,0.12907409389823385,0.4456065165998497,0.490562311562226,2556.9061846945488,-18637.01830857784,0.3580712745564041,0.19316201441033345,-0.005939293788248923,256.7770748466177,True,True,True,7.056028816985614e-05,-43.82994642913325,2.0393679262140187e-05,-44.32203858484091,240.207522415998,0.007613444737273767,1.082483574845869e-06,0.0019852480833262207,0.5781991472057382,True,2.0,0.003886798693825431,5.5594157345443165,hs-SNR,0.2039461138599412,0.3740470145868576,0.0,169.23138044902143,0.3123227110548374,0.6505774966732376,-6.343056868480213,-77.00066916349512,Deflagration,0.003874191493930005,0.2039461138599412,0.20135229041557126,0.5773499401391953,1.0008125465925952,True,121.3815029212946,15.164604662170474,170.4789087899896,-77.48302706263655,-8.681842116574217e-05,-6.329400599486568,119.53014262269394,5.5594157345443165,0.003886798693825431,0.23442082052866803,0.625969249099272,True,,,,,,,,,,,0.014280639905336063
