,Lam_CP,Tnuc_0,Tp/TN,vw,vp,h0,Lh,Ls,ds,shigh,slow,alpha_p,ms
1782,389.8487098883508,152.07623191443534,1.000037537595443,0.1265546804085547,0.1263775623973382,57.92296934053563,0.2311859163409407,0.1987906195118324,0.3576220832902033,47.930730233891325,52.80362744498206,0.00045133716764699997,333.1103558647965
1649,390.2464796276756,147.76558338938563,1.0000520348931552,0.1275030841990294,0.1272653602377347,65.67512236715632,0.2209445545455502,0.1898001445986238,0.3745808927088767,-103.73367227124321,-108.50076396431952,0.0006009650060689,354.02594266155717
1097,395.4318077431437,144.60228212199004,1.0003869216758317,0.2452808958592602,0.2442327728938719,91.94481592661265,0.1280601082693698,0.1280590453424075,0.0640310684249703,-68.87513662066738,-81.37821190713679,0.0012425141141228,343.3451631434092
1938,397.28911495808677,147.68796662532543,1.000050859062496,0.1258533612004405,0.1256149380222395,66.11137274471173,0.2233937822850604,0.1924400039529602,0.3834045938135936,95.94844656926779,100.3877748812458,0.0006111784100688,369.74250298849006
1191,404.8593172417282,144.793333567852,1.0006131400800653,0.277403613743211,0.2759082395164273,100.70229508146036,0.1161610776082531,0.1161604581307131,0.0657486442772759,-59.22322908919697,-72.32341830777044,0.0014983454496298,386.68325663349816
675,407.37093082915385,144.48677303140641,1.0002196437580086,0.198529722219561,0.1978021214987863,88.19883345650294,0.159184613863499,0.1591830020300148,0.1708593522503418,-80.23420334158877,-88.10905105899656,0.0011216115293126,383.55725672495623
521,408.2338247532363,132.26603610256146,1.0283669650890632,0.5598898422946008,0.5244185283503434,131.43482596646805,0.0510840760984731,0.0510839524071437,-0.9999999999999925,46.676321753982286,105.91232329068994,0.0034707152610804,337.5180099058365
2026,408.5099468825963,136.69885105222224,1.0028072333152434,0.3898227368849364,0.3847089798239692,128.92323968113254,0.070265275846415,0.0702650173287456,-0.2212205154069378,40.37305381929771,61.77985936850065,0.0028232565514828,398.3901383655056
944,409.8298159620449,151.86382591732263,1.0000224121603425,0.1109096398012212,0.1107912973406319,51.41309079224817,0.2977706981414142,0.2582595882926459,0.4455963857969401,-70.3568642008604,-73.19014657334162,0.0003468180787922,368.46439933014886
1825,412.22126003983414,145.28870378783503,1.000266556233638,0.2206270514197701,0.2198411649490613,87.87414777755717,0.1489582274274358,0.1489567799133062,0.1630335947708631,32.91533786147226,44.25806790432261,0.0010661077825184,335.04226890768297
1346,413.51818043973367,150.172468535402,1.0000107583650022,0.0941305900823254,0.0940635070400506,41.82737835760693,0.3735846301224843,0.3309997395710615,0.5044562946513617,-95.86611867095344,-97.29778012315901,0.0002333073303329,355.0343554611367
1233,417.4611746691117,148.06960899283385,1.0000232979974593,0.1080171347313843,0.10789193258660301,52.49360945222435,0.3069043032388258,0.2689103730051673,0.4471289158456898,122.00893067081356,124.90529303738852,0.0003772481940995,327.0369979594717
605,421.8447325999826,140.59119824397578,1.0007635637618657,0.3028573601932186,0.3011231995031187,98.99489194332716,0.099882571734566,0.0998815640423614,-0.3218309623072621,76.22502690451495,95.56838272020504,0.0015247247325878,321.4481227491323
1886,421.90362553943015,143.90946726064757,1.000502088136789,0.2551807760967537,0.2538634939710244,98.79363663128956,0.1227520784771946,0.1227513283411642,0.0836509036372146,58.23629154578838,69.61562343301803,0.0014818051263537,392.2497127215564
700,426.6100561824009,152.01466908848485,1.0000123656160858,0.0964788786068244,0.0964064278832184,43.79507970084301,0.3449843851125406,0.3010810943635601,0.4755770199547335,101.71384887091595,104.21777062096584,0.0002456144287391,295.75494674997316
1647,427.6070851066535,140.33843978954874,1.0014513478927076,0.3396406733298519,0.3366418614898863,117.18953037874977,0.0848701442668227,0.0848697864560647,-0.0770635310030755,52.98620158679678,71.42380924458287,0.0021807340994644,382.24450667785453
992,431.49181518428514,141.57898771311918,1.0003894817392711,0.2291226592508676,0.2280015125367406,96.60911116519571,0.1272455515926384,0.1272442942801868,0.0529888301315227,87.6645348260183,97.77971765329212,0.0014508720629497,375.2332991851426
2078,432.38783268245885,132.47027429069985,1.0500590305933208,0.5843369968590385,0.5243787264441008,139.18201174974595,0.0428751676255376,0.0428750655416245,-0.9999999999999948,22.02817750182703,-35.443315078577484,0.0038701793581496,395.69848860177535
668,434.32768386067255,149.2788261785885,1.0002650378976288,0.2308096155152833,0.2300568559954853,83.85429685075012,0.1416369599824909,0.1416356560991957,0.1327627035052251,37.550916949982856,47.86774122749489,0.0009650267257139,373.9934345243119
1486,436.226820593654,142.8274612532064,1.0004204710142235,0.2422835471288668,0.2411320573040009,95.53887890581541,0.1241312913055797,0.1241302308324547,0.0477455794471986,-70.74112649832799,-82.43582915826619,0.0013872160462227,359.2812021388972
1820,437.8187575650183,151.4241233310691,1.0000067543203508,0.0794059428973522,0.0793567891334272,39.5414403478848,0.3841720780414278,0.3425117129385208,0.5186314381403896,97.97163062495649,98.88085412662815,0.0002037218215526,433.0463817752726
2102,439.9038106732151,138.27251006656326,1.0012391345456826,0.3212938556211161,0.3186119649293967,114.31239346186173,0.088386153042543,0.0883855800856388,-0.2030324789745489,-76.64703125646733,-94.07189884646236,0.0021457237658612,368.7273696156595
527,442.08897822334234,142.4431597723343,1.0036055172846725,0.4365230977396249,0.4306463763918997,121.93377846894477,0.0587066676448848,0.0499179977625781,-0.3833764904144339,-19.15100120488025,-47.07964507449778,0.002402244968679,414.7647756339968
1300,444.6991925689992,150.40361788005856,1.0000171558601971,0.0998712126872077,0.0997716474675867,49.415398564698684,0.310870763467234,0.2703509411771922,0.4548419167561918,-72.19809454639326,-75.08813062160169,0.0003256195968962,317.54943075815567
1064,445.14901211180063,131.97401543928677,1.0070486374460221,0.4553740345322967,0.4443221883011185,148.31351084829691,0.0573308469133882,0.0573306997613249,-0.2562871585205211,34.358429409200156,58.412430703998325,0.0039614350210634,436.52450811418106
1717,446.63298869296943,139.9192840662631,1.0019803608473898,0.3661249529141646,0.3623190081515789,121.94726654220685,0.0768304913703596,0.0768301970701307,-0.138817220546043,-42.46491448535763,-61.54112410487609,0.0024013388616872,409.37419676176376
