,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
10,681.0576206181471,-0.14151999560308345,-192.9136772025678,999.0740305979466,-669.9856911576852,0.2026257292619076,5.73972049320758,3.8611656314723235,-108605.0344195033,44422.41053285872,0.5966962478543775,2.0784577285472823,-0.44673516084180026,True,225.26011645306613,-189.94340085209262,-1.0975623419944588e-05,-156.66751348702974,91.31698530500984,120.34371643831814,0.02185028294872651,1.0,0.02185028294872651,120.34371643831814,hs-SNR,,,,,,,,,,,,,,,0.6506518815941515,0.6850371806640633,True,,,,True,0.6379421129540679,0.043013626838207294,0.0,209.7327057604517,0.04301361493114178,0.13625494212719308,-157.08771353837602,-187.753524465044,Hybrid,0.012862667774494218,0.5773502691896258,0.4777146221984896,0.6481478588118988,1.1416461071946435
11,824.8738027389415,0.2305911286602547,203.3556638298089,-598.5447391456743,147.2294038399679,0.4155175335940773,7.090411968117483,-0.01102203023539213,-96759.00005884252,173735.12054233483,0.5418009974493074,1.7707659869901384,0.4155132501634721,True,226.5886322736729,198.9241789055444,7.87593124828808e-06,161.80705075162814,89.86348896124849,117.03110266323776,0.0218778431345136,1.0,0.0218778431345136,117.03110266323776,hs-SNR,,,,,,,,,,,,,,,0.6436939512321921,0.6850967826086907,True,,,,True,0.6192122844992392,0.04273482757831397,0.0,214.19231802904054,0.03648137196381285,0.3495024306339017,162.07607627386474,196.22465309422387,Hybrid,0.013726625126825551,0.5773502691896258,0.474199996126133,0.6346759554907192,1.1235960558189135
12,834.0267755396625,0.2310848015186492,204.82885952530475,-599.7258637623069,149.2732243153101,0.42329355312896255,7.171643474456519,-0.07813055982265077,-98822.44143947342,179204.31456425527,0.5428928184839477,1.7798891086436883,0.4230807572614622,True,226.7083398870152,200.41532240446102,2.0805563066610547e-06,163.4255922097214,89.72308511379046,116.95084547623921,0.02197996983921704,1.0,0.02197996983921704,116.95084547623921,hs-SNR,,,,,,,,,,,,,,,0.6444690124043226,0.6853172261222521,True,,,,True,0.6496198055661537,0.0964500046640924,0.0,210.5902702785425,0.09644999840295884,0.2862026111911489,163.75745722833653,196.8550271791328,Hybrid,0.01240561547625948,0.5773502691896258,0.4796162959480035,0.6569784801734829,1.1537255979222014
13,776.2100509057551,-0.2106031568817256,-214.62428463423612,717.8053368954587,-635.5778242432922,0.3406293190145783,6.641951408488422,1.0740345926849058,-108674.46041775402,100730.9415997342,0.5495675827812371,1.8394936175695904,0.2972102153754884,True,226.4334142113933,-210.53624252569185,5.98126945312201e-05,-174.69819096443626,89.83446098878994,117.09896091902641,0.02199103453661104,1.0,0.02199103453661104,117.09896091902641,hs-SNR,,,,,,,,,,,,,,,0.6448964370517206,0.6853410703156994,True,,,,True,0.6322436806633883,0.06279442344911547,0.0,212.38487968113841,0.06279441607285721,0.2601000214574996,-174.99395974251343,-207.69991980169883,Hybrid,0.013193598668643643,0.5773502691896258,0.4763563679338505,0.644034065824881,1.1362413592742622
14,898.0402115815871,0.2175056456629407,198.7244305194533,-604.0273813374993,135.6047598139932,0.4328532271775555,8.919384113624671,-0.3663542289076813,-101031.76197371313,222068.3248944904,0.5356633359630346,2.168786990254888,0.42909132446855786,True,226.84969357561147,194.60830858021058,2.1344997084139055e-06,159.74922698213098,89.5815443554441,117.49797647109324,0.02212923878928729,1.0,0.02212923878928729,117.49797647109324,hs-SNR,,,,,,,,,,,,,,,0.64693702478062,0.6856382542687615,True,,,,True,0.62473446211847,0.04286460550283387,0.0,214.07878840392945,0.03659327607920305,0.3516239015495793,160.08468107597642,191.99359376488098,Hybrid,0.013608726803727534,0.5773502691896258,0.4746737155361622,0.6387063930776751,1.1292426187214282
15,772.2660590310495,-0.21306584296457964,-211.4616221208464,687.5145511436992,-630.2077642748353,0.3432777844864909,6.7666536365778045,0.9457919293924436,-103429.32725094043,99441.02910327043,0.5455483712133408,1.8492953973765247,0.3102288646752103,True,226.5860396563569,-207.35863973868285,-5.794409696489246e-07,-170.9419517201957,89.7051801343914,117.22397902533234,0.022197982497052487,1.0,0.022197982497052487,117.22397902533234,hs-SNR,,,,,,,,,,,,,,,0.6472370148532175,0.6857856340654864,True,,,,True,0.6341770979395933,0.0620285674470484,0.0,212.40204939628674,0.06202856014485664,0.2571588502580643,-171.25493776709192,-204.46185580100712,Hybrid,0.013213592310459998,0.5773502691896258,0.4762747939503477,0.6455474839084283,1.1384740472957198
16,847.6052126616693,0.2321618156277384,200.792228730498,-563.1475064587372,148.77488209586218,0.4359639300639558,7.764652460789829,-0.3785470151966823,-94280.97170607967,186705.4984612367,0.536710654644193,1.8780719459980104,0.4313501420213503,True,226.9361401090014,196.4118119317156,-7.283387766141392e-05,159.13283534321562,89.55131781660681,117.26958873000528,0.02224926169367424,1.0,0.02224926169367424,117.26958873000528,hs-SNR,,,,,,,,,,,,,,,0.6478645379900384,0.6858953817853772,True,,,,True,0.6231190928535554,0.042432586667373234,0.0,214.3362360448421,0.03625737372596136,0.35012276160196937,159.43699413831234,193.65088158498088,Hybrid,0.013747668168130759,0.5773502691896258,0.4741156342344096,0.6376226429965764,1.1279041589492207
17,774.4267347155051,-0.21625580291631008,-217.23270608249013,704.6607425366436,-601.6427200730193,0.3509080025172676,6.412684934247541,0.9550052731381684,-109271.8952847635,102551.25210313553,0.5497473695514676,1.7623387790849134,0.3153521050627201,True,226.71922567895768,-213.09586533281222,1.484081781892349e-06,-176.65971308677402,89.50887097890846,116.84898220263594,0.022280393038438245,1.0,0.022280393038438245,116.84898220263594,hs-SNR,,,,,,,,,,,,,,,0.6471235925968359,0.6859619302029601,True,,,,True,0.6338419365984235,0.06739018336937952,0.0,212.6319125544691,0.06739017621684629,0.26493000872294364,-176.943224380289,-210.17335297260186,Hybrid,0.013271817679033944,0.5773502691896258,0.4760375458279301,0.6453430625199194,1.138277330965985
18,437.312269643766,-0.1372744081568739,-43.758094749604595,148.8128456376526,871.5168550436365,0.15619813166288135,12.20743310126143,1.1913565183674208,4096.683050727645,-5451.954992228617,0.4622404026754934,3.250417695043261,0.1271312028891763,True,221.56465216486504,-40.31770915028513,8.69815535594405e-06,30.06781044341991,96.37438303243307,133.42475435403722,0.022377745388687528,1.0,0.022377745388687528,133.42475435403722,hs-SNR,,,,,,,,,,,,,,,0.6721967519124976,0.6861696540113036,True,,,,True,0.6858363819890484,0.0398252036274965,0.0,196.35811598012143,0.039825187098510066,-0.1748062812251929,30.593931747411016,-36.53802071480021,Hybrid,0.010987574917491595,0.5773502691896258,0.4857244213255103,0.6858958908496349,1.194616804821654
19,415.46158468006087,0.21458937831983466,312.7011989983806,-887.2882126763349,72.5899067982172,0.1877858601398719,0.5225556796950547,2.4132993457633125,-148084.88680395664,15541.406370898581,0.5289485513888175,0.5328554775509824,-2.598526660499232,True,224.69243748454696,308.12583746775374,-7.378416154623096e-07,253.5217218203373,91.81365100684046,118.96117286015159,0.022396913477279925,1.0,0.022396913477279925,118.96117286015159,hs-SNR,,,,,,,,,,,,,,,0.6476056440432996,0.6862104854099026,True,,,,True,0.6240718591016453,0.04223514630409053,0.0,209.90333036376617,0.042235134270654284,0.10575517753801457,253.52615713903054,304.92356157146753,Hybrid,0.013782646762360537,0.5773502691896258,0.473975530870594,0.6383745070518488,1.1290532606498385
