,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,eta_BAU,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,h_low_4,s_low_4,h_high_4,s_high_4,Tnuc_4,dT_4,alpha_4,vwf_4,xi_J_4,v_calculable_4,EWSBtree,htrue,strue,Lam_max
1360,333.0654925608215,-0.0050296636393548,-179.46759068611084,474.0723062507834,-581.7464823330025,0.9690465259561414,0.1290939795567409,2.100010537772583,2.630701959665732,-34890.02058065411,-37094.928287920804,0.4934238457101029,0.9634529610541012,-0.6947819815526712,704.4464307644017,True,False,True,70.296692175294,-167.90195390239867,-2.1781073683798856e-05,-161.47694534813473,148.72112718651837,1.1420730647572843,0.0006667535563033,0.0582678269470074,0.5980452855890387,True,1.0,0.0006667535563033,1.1420730647572843,noneSNR,,,,,,,,,,,0.1418563389548523,0.1930268223836826,0.0,69.31701096487609,0.1652531228859693,0.3398121455721708,-161.47453145432223,-167.87021543555915,Deflagration,0.0006665661806916,0.1418563389548523,0.14156053315237901,0.5773502825127536,1.000070269040129,True,148.85959402147944,30.15073839706956,0.0036613795717828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-179.46759068611084,5679.607573119194
58,119.62870751208123,-0.0553338470454699,-195.54394995072784,45.34569970258821,-145.4868438050318,0.9636071974762604,0.1290403754669078,0.4672919107372834,0.23342815305071998,3417.4799369196007,-10534.567288328271,0.3908825504463239,0.1557276698594408,0.0998890562461774,704.8705417586038,True,False,True,166.10482528419698,-183.4288302141967,9.680142558729933e-06,-14.364868487764234,133.73053564433425,35.647277536802775,0.0046988367910717,0.5086053568200704,0.6305535555915202,True,1.0,0.0046988367910717,35.647277536802775,hs-SNR,,,,,,,,,,,0.6290736577640657,0.0577335180628503,0.0,129.30443774104077,0.0577334011290065,0.0606592827246208,-18.268083142088546,-178.55136796728848,Hybrid,0.0033127900705739,0.5773502691896258,0.5284879162543106,0.6293871890951298,1.0914371537832457,True,147.8318818507311,4.1037966751764765,0.2800562645804045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-195.54394995072784,2730756.6522802124
12,119.3955018563734,-0.0594259545436797,-181.41929911707746,47.68561977499688,-144.2944540097509,0.9685161581369179,0.1290335877871897,0.493298301202724,0.2646955083375233,3526.16356330317,-9885.884192581629,0.3945531424628091,0.1674404933569348,0.0935258068140769,705.7924401485901,True,False,True,155.27318596511628,-167.7001474698184,2.115980171387236e-05,-17.297452516241812,137.83471172412348,32.16489556839086,0.0036366262928076,0.4516282221280862,0.624451859221028,True,1.0,0.0036366262928076,32.16489556839086,hs-SNR,,,,,,,,,,,0.6035296814918572,0.0645700150301658,0.0,126.65210112665136,0.0645698847717022,0.0312219139491063,-20.466890132554376,-163.4168987761735,Hybrid,0.0028571285691906,0.5773502691896258,0.5320931205476781,0.6085606724735589,1.0621740675110185,True,148.4113760924737,4.764643423210057,0.1897911229010716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-181.41929911707746,1826740.3656808827
1599,539.5038761207106,0.0030223111476003,-107.4705417743528,658.5821532668419,-267.37348769112003,0.9886060043211288,0.1290948481167459,5.804080154250598,6.159484218704883,-27382.402068929645,39255.31775843181,0.6500295396947668,2.4776007416801296,-1.5050678801792197,705.8302768715477,True,False,True,78.49339646851996,-103.36971417332295,0.0001236095105666,-100.36232490588823,146.62408389568208,1.2130940736973912,0.0008289710693531,0.0614428744966801,0.6003756398475429,True,1.0,0.0008289710693531,1.2130940736973912,noneSNR,,,,,,,,,,,0.1334111735645038,0.20633286573305998,0.0,77.13131597854245,0.1780022834948051,0.3963782368317525,-100.36207605216214,-103.35449485793447,Deflagration,0.0008287155886477,0.1334111735645038,0.1330670389213721,0.5773502728890914,1.0000770623778608,True,146.79130660802147,31.6022459430474,0.0007548343092973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-107.4705417743528,1.6959211540537605e+18
699,328.1067544465617,0.0062919620271171,-68.77031808594882,177.2182377822311,-243.35877777724357,0.9952914063824642,0.12910414151266,4.893458417658602,2.6111486419483114,1812.747253057014,7443.265618125515,0.5055026586542823,1.6585560447393692,-0.2192229846433848,706.1590292118876,True,False,True,58.76785243486682,-57.66674410421354,-2.0660298433156888e-05,-52.91099935417294,151.57616712002982,0.7355358200051398,0.0004445516483185,0.044033682602119,0.5943071430276613,True,1.0,0.0004445516483185,0.7355358200051398,noneSNR,,,,,,,,,,,0.1252654466488765,0.2415708592435638,0.0,57.978654998510436,0.2073301086641112,0.3875351452200805,-52.90981480893269,-57.645369158283714,Deflagration,0.0004444873290429,0.1252654466488765,0.1250929130566929,0.577350270754723,1.0000361741389612,True,151.65803589039584,38.813732916315,0.0015050717244422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-68.77031808594882,718.7317046182618
79,111.85747469083172,-0.0501654840008887,-162.47321246656048,48.3613001112325,-144.81511487974743,0.9745773628397952,0.1290090629495126,0.5119301329331362,0.3015826240364788,3942.9167272865852,-9895.905646172241,0.3990222150949622,0.1782463039060305,0.0845928070633762,706.7254167233293,True,False,True,152.74552463402168,-146.88020438018225,-7.65624794737239e-06,-17.321978283446015,138.40250332242263,21.121759420296115,0.0031877388172661,0.3746074050266038,0.6215783721459107,True,1.0,0.0031877388172661,21.121759420296115,hs-SNR,,,,,,,,,,,0.5408852329745297,0.0868751076349915,0.0,144.5933653460572,0.0868749990561176,0.2241702952776244,-18.134610197162864,-145.3840670355127,Deflagration,0.0029778648275627,0.5408852329745297,0.5185974383779789,0.5782558755877932,1.0171722737911193,True,144.68959317101644,6.098747701385722,0.1665514235547733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-162.47321246656048,1158675.1871091248
288,247.4608091833936,-0.0070103432324981,-77.27150021007179,176.8589234866161,-465.7149187212282,0.9940775031857834,0.129092577178032,2.3324827002735318,2.2719999784055225,941.6449359813776,-22568.63321103853,0.4907619568530099,0.96178733813597,-0.4241788255712087,706.8319216164844,True,False,True,140.0262641050012,-72.92018580218684,-5.052931341765949e-06,-20.03026362676029,137.1303969039958,39.62789357830749,0.0026954899607684,0.2874219979257494,0.6181605932144559,True,1.0,0.0026954899607684,39.62789357830749,hs-SNR,,,,,,,,,,,0.5185402100743425,0.0641155888847949,0.0,132.63584432655665,0.0641154402307154,-0.0954953831135747,-20.590632878594988,-72.31171276291579,Deflagration,0.0025874417140532,0.5185402100743425,0.5045888643225754,0.5773658361156544,1.0102800330230273,True,140.55908862972223,7.2440851676382625,0.1007644078022475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-77.27150021007179,4363.745597779292
54,116.80897744191286,-0.0594337252292885,-187.777432081825,48.94053898323637,-128.99445752555937,0.9665195624133848,0.1290157963312426,0.4250475804976037,0.2631997595370446,3270.5511736946446,-9157.050561088588,0.3935160528570152,0.1501285217139084,0.0882708794096718,707.3092634449466,True,False,True,158.20212138755394,-175.08704242518903,-6.4431966902721975e-06,-17.004537753094155,136.7478909140858,35.540874228455564,0.003934815530786,0.4739646536506023,0.6262542853523155,True,1.0,0.003934815530786,35.540874228455564,hs-SNR,,,,,,,,,,,0.6150778084125823,0.0595681956407862,0.0,124.78587323918181,0.0595680376528911,-0.0074029562737266,-20.690851138623906,-170.4744044105349,Hybrid,0.0029529291671405,0.5773502691896258,0.5313140536707277,0.6175904991895738,1.074404545002473,True,148.78511388516148,4.543289380127455,0.2089778507424424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-187.777432081825,2182863.160620461
565,388.6721680196347,0.0005022141239733,143.90981244834836,-561.9752958538978,303.7198568862407,0.97993898175613,0.1290743777813585,1.8450722541584887,3.9031324629160338,-32632.98506054873,-5554.933071412132,0.5517392920822344,1.1117901406922943,-1.9351324559528031,707.5987414014763,True,False,True,77.345317785397,136.92418645375238,2.5982407325911074e-05,131.71901245206897,145.29593552226643,1.2608301594839872,0.0008416890557991,0.0642233229710664,0.6005478424991584,True,1.0,0.0008416890557991,1.2608301594839872,noneSNR,,,,,,,,,,,0.140892961975615,0.1900401059523868,0.0,76.05601132232312,0.1626067694914614,0.3488633461941644,131.71765892847208,136.89778118137517,Deflagration,0.0008414001244205,0.140892961975615,0.14052232852513,0.5773502172073302,1.0000858373356656,True,145.46321783427558,28.923663565167647,0.0009368464824236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,143.90981244834836,5456.099675769554
1414,128.1571232922612,-0.0588275793605265,-97.96419242861828,63.44219169091275,-222.09788168543238,0.9905604240518272,0.1290962438395942,0.9665572818666504,0.6457157660181674,4708.49506560882,-12538.891355769316,0.4212569158403983,0.3492586148030238,0.0212524413286861,707.9203717461046,True,False,True,118.43410837568001,-76.72865323265233,0.00011837314574700001,-22.080602164984192,145.44189151490178,6.078595846604713,0.0015147857728912,0.1722807017767366,0.6082432435633885,True,1.0,0.0015147857728912,6.078595846604713,hs-SNR,,,,,,,,,,,0.4167821949744767,0.1658387192392487,0.0,115.78519687072756,0.1658384161414046,0.3984538954831466,-22.1979420043892,-76.02080932683558,Deflagration,0.0015033227153158,0.4167821949744767,0.4135555277871001,0.577350451834928,1.0019008601214097,True,146.62173204750312,13.665528363108173,0.0345020644196942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-97.96419242861828,1.3762528662260541e+18
2121,129.10087790803362,0.0755415192086825,91.84517992004135,-111.82290533313707,695.4071485088265,0.9916924259451522,0.1291219963675586,2.5861733603145023,1.2141222034020038,2677.149071910668,-42156.86660678565,0.4455143721568516,0.8488970406456262,-0.0133754815098015,708.0845509198314,True,False,True,188.45106140984592,86.56452981056722,-2.4896332527341542e-05,7.267633470826103,118.93111902398093,13.89653617999295,0.0057243512321414,0.3547596664698036,0.6357513336899879,True,1.0,0.0057243512321414,13.89653617999295,hs-SNR,,,,,,,,,,,0.3086409098287291,0.2040911763590266,0.0,186.91852691474875,0.2040911115644114,0.9999999999999979,7.320139616419356,86.41094817222431,Deflagration,0.0056577115569276,0.3086409098287291,0.3020319343643507,0.5773499985067432,1.0029317214217806,True,123.3831437688916,8.090930662433227,0.09991832300192001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,91.84517992004135,3502.614153489577
174,116.31668388168585,-0.0553936734801419,-187.29333685108853,48.39012009174242,-154.88961563916618,0.966756629378978,0.1290205431324859,0.4948220093086853,0.2609044782997188,3333.4681355998146,-11575.081562366517,0.3935373685195255,0.1671895820437911,0.0946288095816933,708.1278073512265,True,False,True,175.0510107719442,-175.7270470103326,-4.506653485055674e-06,-12.127308810247175,129.49717329763024,33.23666154830825,0.0053772917155394,0.495925916356497,0.6340554618011958,True,1.0,0.0053772917155394,33.23666154830825,hs-SNR,,,,,,,,,,,0.6083123269508172,0.061172500146524006,0.0,150.46241998839372,0.0611724216171236,0.2920572748294709,-14.699984626679795,-171.76119862122033,Hybrid,0.0040392263565514,0.5773502691896258,0.5231876641814025,0.614412258894174,1.0741491976013635,True,141.36044471751788,4.49545931037084,0.3710020295779775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-187.29333685108853,2153083.85758775
2044,478.0115662238652,-0.0007469539007636,-72.93363540140626,441.7528131610482,-32.95991617115931,0.9947391078333564,0.1290750756434213,4.448935186250943,6.0480606255087,-8309.054858711108,20993.05756318429,0.6484180189599256,2.1202439008141862,-1.9264188683273245,708.2136660635823,True,False,True,153.78031839056837,-71.03984741022367,3.562707254321465e-06,-48.15972528254778,132.36317433949742,45.94437490551752,0.0041594841368361,0.2607467658626654,0.6275631328927512,True,1.0,0.0041594841368361,45.94437490551752,hs-SNR,,,,,,,,,,,0.4532061562098005,0.0563470227874689,0.0,148.13048849603496,0.0563468922179772,-0.3211930142318145,-48.19518567826304,-70.84118723051371,Deflagration,0.004044435976556,0.4532061562098005,0.4421153200953514,0.5773502132493921,1.007036882673328,True,135.37429257773454,7.604560306640983,0.0818820037521842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-72.93363540140626,749.1494222114803
327,124.20171376017929,-0.0535303669339663,-172.18772751012887,51.41953985726154,-134.6112638302166,0.9717249299846568,0.1290688667801589,0.4984148288215701,0.2989039700374977,3400.6675050668077,-8392.640617093095,0.3975525822754736,0.1744210355449754,0.0842549998274955,708.6316261357559,True,False,True,127.02816604182856,-155.2122788995295,-1.3205853019140613e-06,-26.11037590896057,146.39695670888798,31.350932926702427,0.0020622756499760002,0.3743283504953402,0.6132219182014166,True,1.0,0.0020622756499760002,31.350932926702427,hs-SNR,,,,,,,,,,,0.5980120816845998,0.0761903842532151,0.0,91.3342570165764,0.0761899813829291,-0.3954045960893367,-30.25581372312357,-149.51655877343956,Hybrid,0.0017085125993982,0.5773502691896258,0.5426307611678807,0.6017295527791675,1.0481709752461854,True,154.2117097122822,5.785591144723459,0.0486470473364752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-172.18772751012887,1510951.681173394
1954,227.4283734620163,-0.0086717425179006,-126.22598180885824,115.48967459208643,-544.0272826229674,0.9845338377349816,0.1290964737708773,2.9078622061296056,0.9048775033321358,456.01884364671423,-22644.49405919493,0.4290796675143138,0.877778468754424,0.0587008327471546,709.3472170076573,True,False,True,51.27686979163981,-102.45387975127736,6.797420135212874e-06,-95.73234907304676,154.50276750126008,0.5958097677824128,0.0003239892508702,0.0382951452865805,0.5918587787112947,True,1.0,0.0003239892508702,0.5958097677824128,noneSNR,,,,,,,,,,,0.12040756167270401,0.2517772382087564,0.0,50.64310303642733,0.2181818535394194,0.3416527208793951,-95.72943211847894,-102.42704472829212,Deflagration,0.0003239561366249,0.12040756167270401,0.1202869958994188,0.5773503187533461,1.0000255535953222,True,154.56358055466023,41.916468944778266,0.0009589264560759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-126.22598180885824,2.4e+18
56,473.83626638656614,0.0007845814496348,86.11003255877864,-626.3840959888121,687.0578168938879,0.9927288764206952,0.1290751566433952,4.263123550522551,7.266499008632993,-19173.81781255539,-27786.049951416288,0.6981875077800229,2.2768640557361364,-2.967363828569221,710.1654473888354,True,False,True,207.20081864569104,85.87113787202121,-9.430778825447242e-06,42.850625471651284,107.8040244075298,63.88174718453097,0.0130935134946518,0.5392299591164214,0.6630113130883439,True,1.0,0.0130935134946518,63.88174718453097,hs-SNR,,,,,,,,,,,0.637341046104553,0.0406532504545643,0.0,177.17825661245809,0.0406531756948148,-0.9999999999999972,44.29868284008109,85.4091071658992,Hybrid,0.0081909233177022,0.5773502691896258,0.4989151442887024,0.6427855885637219,1.1244258944565373,True,121.21354110177126,4.4903803581427315,0.1162850299253002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,86.11003255877864,687.7337171294641
420,266.358618518786,-0.0065331422702919,-68.32721375852493,181.19468529576667,-537.4987720149709,0.995403957330688,0.1290935654339787,2.9237439343238734,2.6303912722188154,1584.5392347084862,-23726.84922086791,0.5063551605389154,1.1693345289507708,-0.4625244421947359,710.2081207600132,True,False,True,122.49172516825146,-63.43488458805894,-5.886116064538182e-05,-24.303429858625158,140.54541441020805,23.193304785023145,0.0019327781677481,0.2158184927199953,0.6121151267105912,True,1.0,0.0019327781677481,23.193304785023145,hs-SNR,,,,,,,,,,,0.4583900026480414,0.0808106655940952,0.0,118.280746808708,0.0808103873717213,-0.0931366029966698,-24.52806900767999,-63.12034756213863,Deflagration,0.0019054482542196,0.4583900026480414,0.4528683817846444,0.5773502339317611,1.0035663390948584,True,142.44402197624402,9.352113228815488,0.0572488067362616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-68.32721375852493,6.976649226083917e+17
1964,118.66665475193516,0.0541392807305721,-80.59881805786698,85.79777072699403,-622.784609359694,0.9936230192519676,0.1290362768471788,2.464521893818899,1.0602405976641476,4350.014050113933,-34314.965848656364,0.4400179880018548,0.7928372397320826,0.0150070479169618,710.2663580136052,True,False,True,177.49248905418946,-80.55455048426151,-0.0001623411588969,-162.9792372119224,125.06027528649672,10.915787559164071,0.0044126163468005,0.2947035751635185,0.6289918203684881,True,1.0,0.0044126163468005,10.915787559164071,hs-SNR,,,,,,,,,,,0.2563921103922611,0.2292397810936386,0.0,176.2071499388266,0.2292397064808553,0.9999999999999972,-162.94588406721454,-80.57267018899451,Deflagration,0.0043863904989559,0.2563921103922611,0.2524719936778953,0.5773502594151155,1.0014913886096124,True,128.14033463140677,9.556263376728898,0.0976636663420197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-80.59881805786698,4159.717708377284
