,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1
22,899.9429815087634,0.23307194087781086,206.9900480010484,-562.1362500410388,142.00132629311412,0.47857858643304446,8.339536928471052,-0.7866384706097699,-104199.55179360403,221765.49623200577,0.5410141721865254,1.953777820349468,0.4600283932763146,True,227.27922689938862,202.6729542865452,-1.0692292254613082e-05,166.22785640789107,89.15855703522573,117.01250094336376,0.022481957748065575,1.0,0.022481957748065575,117.01250094336376,hs-SNR,,,,,,,
23,790.0977148426746,-0.23192201192869147,-210.98436877134125,668.6195681026057,-604.5298655911901,0.39429888905029187,7.004505966869463,0.5481258654055771,-104968.3231009007,104822.19507513792,0.5544895041624551,1.8424808026182953,0.38357572150115743,True,,,,,,,,,,,,,,,,,,
24,841.8883034561452,0.22749020920285717,190.8149322695859,-597.2688521044581,147.2645029050993,0.4198967407757834,8.33218845963557,-0.11171502585446942,-90549.8007076771,177027.2875526162,0.5397950595560324,2.064427943933148,0.41952228192076213,True,242.90003337166226,190.07418748989966,7.390932183002163e-06,146.54012180610022,57.28172699693288,115.09068813175938,0.14402651204502626,1.0,0.14402651204502626,115.09068813175938,hs-SNR,,,,,,,
25,762.7512816410618,-0.23142583149978382,-200.73698852293418,739.3517248057326,-632.4699087719215,0.37475746768234386,7.0397542920752105,1.1257613741016959,-103018.05680304993,79200.7380912757,0.5687869396741527,1.9475654687024186,0.329750972468228,True,,,,,,,,,,,,,,,,,,
26,660.8237450683138,-0.14243533956330243,-179.98954066664254,996.6945030856235,-650.4988429410769,0.19906060850187274,5.825676778121978,4.20240536796273,-99257.5830786422,31183.59003473328,0.609132009828127,2.1568200891909495,-0.558800304027808,True,,,,,,,,,,,,,,,,,,
27,384.16645892860123,0.26105851171713146,143.43449489173275,-295.0338066385552,173.54406153789,0.20157537437644102,2.463057117768214,1.1252875045464827,-18524.121057014207,-2453.9137115795456,0.4821761484564008,0.8033121968664673,0.07304892255832152,True,,,,,,,,,,,,,,,,,,
28,799.2378936401117,-0.21668850275797763,-202.0435483231903,695.1200941201586,-622.4960817266626,0.3666699953849544,7.73461517435688,0.8101583675289019,-101683.05533942381,110251.28178905684,0.5515930782515917,2.06868018817737,0.345455087930568,True,,,,,,,,,,,,,,,,,,
29,820.452349715882,-0.20831125231965478,-200.2107197313048,674.8375626780733,-628.9065739559667,0.36103807446644554,8.342168896923507,0.6717024119074387,-99763.22208179945,126679.24267594713,0.5430081196414429,2.1974926262154497,0.34751688663936076,True,233.78236946077587,-197.6692519851389,5.345113649966606e-05,-159.66994238743536,79.7671256653454,116.51268020260483,0.03627894687678682,1.0,0.03627894687678682,116.51268020260483,hs-SNR,,,,,,,
30,762.6023909084308,-0.22262062374517794,-206.2139959756399,729.9705249529538,-623.1779199975077,0.3566306764999748,6.76321053189125,1.1395705807554004,-104683.49959198592,86345.81903062644,0.5602989276935392,1.8807310630987126,0.30862754609320714,True,,,,,,,,,,,,,,,,,,
31,84.19735605831204,0.03289907349946804,-174.5019193790577,-143.0750633645274,-702.7120545684699,0.12899771374020202,2.5380532074864774,-0.8264543122447067,20202.85033409317,-45537.027237202135,0.36456474243864845,0.4967709164975016,0.061719107423640965,False,,,,,,,,,,,,,,,,,,
32,685.5090899558716,-0.13176282782408263,-194.14984131745683,979.8318997736991,-637.7395626045637,0.19375617509980173,5.742858743007756,3.808987481148153,-106701.49234963319,55141.09956568842,0.5900873811764841,2.0705459326099644,-0.4378276005419074,True,204.56863489169405,-188.55162851674766,1.0913405797882956e-05,-162.8152113517332,108.72326566464017,54.996708919598845,0.010142981434151734,1.0,0.010142981434151734,54.996708919598845,hs-SNR,,,,,,,
33,307.55304710444824,0.20221543911570328,-847.3855250941496,-235.17003339356035,-433.8077830141391,0.15534043233878572,0.3254718354992327,-0.20307754914055898,135784.39683873678,-131637.1320243855,0.4037101335339464,0.047521700684715014,0.12366296714300432,False,,,,,,,,,,,,,,,,,,
34,79.2786026426291,0.03402263756259015,-190.29900158940072,-149.91857809713656,-757.2959750548722,0.12898473463278337,2.4063371172753922,-0.7945989213314328,21960.005735844694,-57176.1666376231,0.36588556083965884,0.4691511257636093,0.06338841385459025,False,,,,,,,,,,,,,,,,,,
35,656.1981789623094,-0.1321157024849224,-195.6067586859126,1018.151866451693,-659.5964380693241,0.1884716757159181,5.157399666326422,4.079943138111016,-109679.8809431969,34210.684338971885,0.5987349505246616,1.9693404396001082,-0.6184240996349548,True,216.81445424621035,-191.65469537597738,-1.6837836299523578e-07,-160.87343131750072,99.73111810320218,122.18772516077,0.015162726372553413,1.0,0.015162726372553413,122.18772516077,hs-SNR,,,,,,,
36,845.0109306562799,0.23181737380689532,193.64941263054544,-572.4999953134424,139.10635843733164,0.43315843150584554,8.193553527025514,-0.31907908581126615,-90591.38008359002,181051.3084771201,0.5377857357561968,1.9952085341211676,0.43005198133540545,True,237.3625773156616,191.6325356769907,1.1471185153688387e-05,149.96074398709618,73.25620515070885,115.6875706279245,0.051523657902170485,1.0,0.051523657902170485,115.6875706279245,hs-SNR,,,,,,,
37,830.6636283013744,0.23289316185779185,188.92766799168237,-575.9552907321221,140.76752761047896,0.4253726279489352,8.240733679156271,-0.2071359400073567,-86726.88660583567,168876.33040706947,0.5385571317195712,2.025660763121175,0.4240710054443986,True,,,,,,,,,,,,,,,,,,
38,398.96371070514516,0.19028132336207737,324.23455591054835,-970.6986468283262,72.73537041655027,0.17142518113074467,0.4132434028599555,2.65989732658883,-164528.29741096517,9740.00049550974,0.5310431277519838,0.5466270718131272,-4.108772481451227,True,225.31872988413238,320.27221102845465,-5.962745327510076e-07,263.0520199185629,91.12281643219468,120.10912666448681,0.023845566625549,1.0,0.023845566625549,120.10912666448681,hs-SNR,,,,,,,
39,411.1091683799408,-0.15078477236299495,-45.63412413689507,148.72278430984457,850.9699787973553,0.15761950531299873,6.709555739794586,1.2318184238460184,4049.7985267161216,-8633.277298875852,0.464637002228827,1.8826920055896497,0.10108161039967084,True,,,,,,,,,,,,,,,,,,
