,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
5445,385.0049523317226,0.24970021641778856,555.6364373402598,-561.7928889427494,121.6201340153916,0.19585758210251566,0.2867638693538911,0.7790106878841508,-180028.09606139892,13923.186378238952,0.4648890516251743,0.20152608198583125,-0.33319935000424816,True,7.496357067614464e-06,487.39160328635535,-4.752147797263379e-06,482.95046031652333,520.735144171702,0.8906413338896755,2.767943863994126e-06,0.0034510101189242103,0.5787070868729915,True,2.0,0.00027691288041540235,0.09446829396722478,noneSNR,48.17615723860593,519.6416083390685,-0.00017731315771536886,517.6926580438718,147.25049201206483,0.09446829396722478,0.00027691288041540235,0.0553224628152827,0.5907765713413957,True,,,,,,,,,,,,,,,,,,,,
5590,521.5572676496944,-0.2653434009441821,-140.37378776397372,315.22192303724233,42.65807599992195,0.2745090411588957,4.576179672309841,0.3683090141483555,-23980.9557335761,39265.625423408244,0.4871022114143729,1.2054297537688532,0.2670983001250727,True,-5.3427403192675785e-06,-56.554742020394585,2.198664676547616e-09,-43.89857346169956,165.02483227732057,12.35216476597543,0.0001142221880962335,0.02140054765864621,0.5860103706485167,True,2.0,0.041238337051517526,120.274322444127,hs-SNR,233.6627398355517,-137.13200157331542,-7.478175148562614e-06,-69.02043624424883,80.68363363672641,120.274322444127,0.041238337051517526,0.761282801757561,0.7185764510840537,False,,,,,,,,,,,,,,,,,,,,
5605,584.9786626065936,-0.2236628952355012,-452.62275194880755,720.2971039262779,-248.04122987835567,0.26159392101560225,0.9522587196344264,0.9576015515658648,-212075.83958498173,63609.404184957464,0.5051985070684557,0.3976649385029174,0.020850330893006697,True,-1.3731745914205808e-05,-344.32794535597543,-8.092851419538054e-06,-321.19150683853775,758.9348031341738,5.44636847951665,1.4247014335647711e-05,0.030756470804460364,0.5804239169044135,True,2.0,0.00046451697263474016,0.3571257564405812,noneSNR,61.2360620782099,-422.1892963443833,-0.00017110308050377759,-419.64641783350396,142.30313517307022,0.3571257564405812,0.00046451697263474016,0.04779647852439233,0.5946778307706297,True,,,,,,,,,,,,,,,,,,,,
5629,326.29902381864264,-0.14604362275399968,-388.62841095233773,528.4498034026202,-184.6544399272276,0.14494010521520814,0.447250765733384,1.2231141297066297,-104220.43187166764,-8354.779501882018,0.4579346232574572,0.3156650463844509,-0.6912843849960673,True,4.611134194818545e-05,-319.74467349586376,1.51494059806597e-06,-315.9312145976631,447.39234229620376,0.016922788798922284,2.4814199349460263e-06,0.0033984863221379,0.5786350238965985,True,2.0,0.00032922757054415367,0.15559858487688416,noneSNR,51.893804415369814,-361.32143486340834,0.005761523818222498,-358.99505907142446,148.23368918192466,0.15559858487688416,0.00032922757054415367,0.06908342318393591,0.5919740604361742,True,,,,,,,,,,,,,,,,,,,,
5667,409.33035432978124,0.21877450787394295,441.80524376472357,-969.0598105612187,173.9124513298352,0.1880964058512632,0.4374040187379478,1.8975404894669337,-231542.10600812282,-424.6897221100808,0.5076138718988307,0.4256077529289759,-1.8698750318343575,True,6.30489105943144e-06,356.3332690482222,-1.2151044700699408e-05,344.47467432813494,616.9187813429966,3.5473004451671386,2.991278095755365e-06,0.02896026157959465,0.5787606974170038,True,2.0,0.006221006991514964,17.40709524377128,hs-SNR,181.0827125475089,427.27828518595277,1.0955524281081737e-05,394.478038958326,119.46298117757986,17.40709524377128,0.006221006991514964,0.3220799438497386,0.6380803720060666,True,,,,,,,,,,,,,,,,,,,,
5687,463.92503949500616,0.26389023697462805,447.2231728694478,-605.8945550774407,377.87586517352537,0.241082499260934,0.8239213127342165,0.8983638482065393,-166516.7719886881,-18036.60331813845,0.4924745585511496,0.3557076362179773,-0.0038005955476613507,True,-9.545306419901123e-06,352.15987156441804,-6.6925310825853775e-06,341.47587765204037,559.0587861407406,1.094564111348177,8.30871937921105e-06,0.019623149369914484,0.5796990063903712,True,2.0,0.002185597185761333,2.7612025388522166,hs-SNR,123.98544974165577,418.21060097610064,-2.8472256795837668e-06,403.95411409347236,133.85611686787516,2.7612025388522166,0.002185597185761333,0.12503849911204254,0.6142418215194809,True,,,,,,,,,,,,,,,,,,,,
5704,388.16098601453325,0.23614625066466505,-419.4246758080146,701.7141577616007,-343.7016852372585,0.1900377351955259,0.6728460078441069,1.97046262699926,-109478.20744431292,-16777.816913849972,0.5116229589681422,0.4966219397942366,-1.252611444236189,True,6.078591516802622e-06,-315.7413450279629,3.5359645730781958e-06,-302.0358444599273,827.8855661533323,0.9247011090556044,3.0634955867091888e-06,0.02024566862150581,0.5787776006434654,True,2.0,0.0004079781606119964,0.15724396697092402,noneSNR,59.002096161197926,-451.67263423167833,-3.838098287117835e-05,-454.28949463551135,143.26636882545856,0.15724396697092402,0.0004079781606119964,0.06572831000883489,0.5936051178638863,True,,,,,,,,,,,,,,,,,,,,
5882,416.983031319468,0.07134979609274594,191.1557154718048,13.833409410191278,56.90643470002146,0.135707307078872,2.5470630250042614,-0.3114366282571539,5180.131461451093,74947.4565919815,0.3893786092741314,0.5848596515415397,0.12618724686952335,True,-7.1506278914266414e-06,14.744307362485644,-1.2673548258034767e-05,15.715669332310984,597.9996065929138,0.02167801606924513,-1.0644201633796244e-07,,,False,2.0,3.4061972232428688e-06,0.03628753250768568,nonesym,-1.3632373042338933e-05,74.52724183200252,2.4876181660763843e-06,72.37002737589431,436.48049130937005,0.03628753250768568,3.4061972232428688e-06,0.001909313849006368,0.5788552181132709,True,,,,,,,,,,,,,,,,,,,,
6352,560.4535862995007,-0.2567389288498078,-482.31245499581433,403.9682631893849,-595.2287814195882,0.2878195588490796,1.1962706789519344,0.22024956838117105,-151775.09195143392,-27512.553363635907,0.4875883266858321,0.33577593113484544,0.27768182973274946,True,0.00016489580809667364,-377.76164147752,2.392957890701897e-06,-362.53058188004997,633.0657055933772,1.7461331532116446,1.5902485964811874e-05,0.02150497658185544,0.5805970937149663,True,2.0,0.00027396723511961775,0.06636554163949883,noneSNR,48.241091315444834,-447.5471136643448,0.0022417657701752315,-445.8619741558282,147.403122417579,0.06636554163949883,0.00027396723511961775,0.058314642392980814,0.5907058269616587,True,,,,,,,,,,,,,,,,,,,,
6507,235.51781118271717,-0.06664745347760237,-523.2713958127606,529.9255065048626,-76.04571723271692,0.13053100192562272,0.1175838292984428,0.992176609690894,-133547.39184745328,-8219.075916548121,0.4411076749453421,0.19475872560642635,-1.9624745386558688,True,-2.160877400663538e-06,-490.8511670476355,2.0800359773066706e-05,-490.5403006174626,322.11171262699133,0.020999053811124213,1.8862291747391602e-07,0.005547237566588524,0.5777047707783962,True,2.0,8.267833655909954e-05,0.015246826287466318,h-SNR,27.60433973174141,-506.87625600409456,-0.002080553753073784,-506.42332683017713,155.59121641058437,0.015246826287466318,8.267833655909954e-05,0.03400631289842754,0.5847265951113686,True,,,,,,,,,,,,,,,,,,,,
