,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type
10,372.7540853180789,5.039499601538681e-09,146.22606414349684,134.14368848044114,609.2680332305945,0.9787832457361768,0.1290740960404815,5.982572445120646,-0.9173719595749079,17631.40566357011,38828.86692247706,0.35031885881682434,1.3427477846843436,0.09390647709669891,698.5101671532877,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
11,732.5106416762868,5.5939266821321676e-06,-829.8821724721435,489.2500422892306,-2.6990582229880147,0.7125012379907524,0.12907409617494398,0.378206062716327,0.589555836328411,-195181.2787056894,258232.71908060455,0.30051786004782133,0.19281082173381692,-0.10067901886805258,842.6915166814856,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
12,566.8128258177668,1.750807775747642e-05,419.6030537870048,-374.821255940837,111.45411084204909,0.8642553688045573,0.129074096813279,0.9682992702994426,0.8932240084357477,-70818.8775979329,123717.22406313625,0.37299053296374785,0.39094548564748527,-0.07691829461940611,720.8861705720959,True,False,True,1.549707205137118e-06,252.76107552332917,-1.5944965757359583e-05,228.67813040367963,938.7023069716056,16.173673907613647,9.718620742595594e-06,0.02104951149003932,0.5798900558094314,True,,,,,,,,,,,1.0,9.718620742595594e-06,16.173673907613647,s-SNR
13,363.8578040019823,4.404576214074821e-08,241.59062399855924,75.28317921532187,182.01185400436322,0.8529736429769097,0.12907409604048337,1.5917566614998353,-0.3116147425560944,16917.606648687106,48932.15642332076,0.31794559122913973,0.34600337494894307,0.11382306079637688,394.80574888502446,True,False,True,-1.3681879001926063e-05,130.05202116027317,3.047216006775638e-06,127.2857248404286,497.76161718017335,0.10110793902765636,3.6243723708083595e-06,0.0012111652260999764,0.5789026038482528,True,,,,,,,,,,,1.0,3.6243723708083595e-06,0.10110793902765636,noneSNR
14,543.9378054028564,2.389065145592009e-08,101.80625554652897,-439.18016068059455,80.54979036650809,0.9898199245152645,0.12907409604048248,8.361561726851793,4.3138816090522445,-14531.891168762388,78463.0401699874,0.5737194677180126,2.8093706998883223,-0.42732837830702985,708.0244726564413,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
15,499.21367549840096,2.8050185132891923e-06,213.05332573871272,-258.16543033989694,564.4695886863776,0.9579408921449646,0.12907409605564057,3.665337219501684,1.2117284175670666,-19678.0311879397,46113.45764542524,0.4289399022160642,1.1182890411365989,0.02892739262768107,711.2089510904839,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
16,880.3953774186505,5.606045081221289e-09,-912.7052108415662,152.07302404801476,-380.6975236310982,0.7369963397243919,0.12907409604048176,0.6707500528828219,0.1666179173017503,-61575.15879688633,211290.8414273074,0.2917718443450118,0.1954571661043305,0.11872689955251414,995.211791465244,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
17,427.5247797279296,5.116726722652809e-07,429.343910231259,160.19368842006554,17.237399960831112,0.7882346422022972,0.12907409604084247,0.5465183389214348,-0.37311356221789993,42212.77177556581,93342.31291934577,0.2888205942986981,0.07444399102737537,0.0653920014080842,549.9473516236181,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
18,129.037749675869,1.9053515818076944e-06,-205.87193105458175,-55.85980103235744,-30.9548865052804,0.8063731119966022,0.1290740960405115,0.36862231591120426,-0.2713327308980727,13573.737402630704,9250.67138922636,0.3002923984160174,0.04693345716145562,0.07914395909626568,280.702715143314,True,False,True,5.2044346150067924e-05,-102.9823199827391,5.038924599899503e-06,-85.40785833957186,355.37900282314996,4.609910940753082,1.0556226201692826e-05,0.025637579095114885,0.5799969933016251,True,,,,,,,,,,,1.0,1.0556226201692826e-05,4.609910940753082,s-SNR
19,203.54649916562144,3.510596031272743e-08,-666.7574601701955,-277.4609584949181,-602.2043796508289,0.713329703728565,0.1290740960404817,0.5123736737266613,-0.4161347587285619,100323.33726690507,-173740.59858649786,0.2589093982073315,0.05873762531023834,0.04458100715743568,678.6508113905002,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
