,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type
10,5.212620780761887,0.00014913586459238749,473.15954657476004,255.53414984240442,500.49824256376473,0.7738837950901339,0.12907409317466426,0.5655048115013883,-0.5400391678869143,68280.2036386746,-110209.72283488172,0.276260928579898,0.051369674894194695,0.00014402179397413062,578.1691737271742,True,True,True,,,,,,,,,,,,,,
11,375.6994331546801,0.0005408054542396953,214.52110637506496,-594.7445643532876,496.035378908168,0.9581905468707158,0.12907439882144137,1.7768137283146477,2.7711440344773384,-55998.42818057843,-24681.272928500635,0.494035297120787,0.9060607711582183,-0.951404541858414,718.3848943878186,True,True,True,,,,,,,,,,,,,,
12,390.0149747164276,-0.0003361038188190116,186.5531870723063,215.49620375635595,248.60660583766537,0.9584593710676188,0.12907422320309075,3.354673221389313,-1.1541475700786414,27941.890639780268,70401.5555867565,0.33061020292384596,0.646310377000888,0.029805492270874118,626.8773290226297,True,True,True,,,,,,,,,,,,,,
13,610.0481904912843,0.002191086573730904,-171.14592916013487,-14.934945170745777,-774.8201414416388,0.9840946672888629,0.1290882144433708,8.661540507982595,-0.06872579569250133,9374.143693899376,121659.10886773164,0.38829259285983575,2.153930827713565,0.1289518866449493,948.0928643591344,True,True,True,,,,,,,,,,,,,,
14,484.7184617219123,-0.0015217469453542769,-291.7310238192646,593.0338180711756,-45.745058673233984,0.92261846039324,0.1290782851908636,1.096783611934481,2.0281638374314963,-78876.89495474665,79857.8792564223,0.4463536569317525,0.612223209222203,-0.8085379653404627,697.8137441007502,True,True,True,,,,,,,,,,,,,,
15,329.7355501688887,0.0004319427692002968,-284.2652988647902,-14.752981666093774,-403.219091277298,0.8337031079205824,0.129074239290094,1.3917128604335192,-0.05132417523430287,9943.853316716799,-2143.977844256271,0.3206653122948041,0.33937418590266266,0.12860105063200744,429.1693425443957,True,True,True,-1.2281179596777174e-05,-173.29954107846982,0.0001270154373224755,-170.28817414387595,518.4386687982139,0.6038841360872311,2.5783264524262843e-06,0.0001991960233721273,0.578659842030745,True,1.0,2.5783264524262843e-06,0.6038841360872311,noneSNR
16,172.16079609306783,-0.0004490995864165574,118.52233853939367,139.18502646557732,164.55838291813131,0.9229268432527266,0.12907411931891533,3.015973133624075,-1.1741204682041373,16073.535387952626,22869.699557761487,0.31306534489547283,0.5583065387053292,0.014802637712629532,284.14141238562956,True,True,True,,,,,,,,,,,,,,
17,402.79980775831115,0.0015329844769114318,-474.4526229451917,265.66137066029546,-93.81348147429469,0.7209136436448838,0.12907693790634994,0.4215525076008687,0.5618562831248917,-54981.396642510575,50441.956877368764,0.30237974972712456,0.19903084075436578,-0.05813727455529827,493.5455665014757,True,True,True,0.0001010353893742328,-372.8886917935906,-0.00020396126513521883,-366.116320655158,747.2073997933915,1.3107927573842062,3.4045761943706004e-06,0.004662076176629663,0.5788548604322261,True,,,,
18,257.6160150702694,0.0013562700407126532,67.04619074489364,91.13714617391992,-374.05951851602725,0.9869335051871669,0.12907486561805873,9.174672741879109,-1.363486032877845,10869.633639305617,66194.880662617,0.33573643259978625,2.0664205133234694,0.07841654204192552,410.66792558847294,True,True,True,,,,,,,,,,,,,,
19,626.4087245214916,-0.0003627004387092685,376.1445106796882,73.29427503699765,-247.0893700303311,0.8664677807402094,0.12907450486056565,1.079099402035305,-0.19338116397783497,21712.780749391823,245662.07685548352,0.3286727896084991,0.23754465651252044,0.12041073521365253,652.8356530848555,True,True,True,,,,,,,,,,,,,,
