,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
10,529.2213139996644,-6.035870842649593e-06,699.0450644070918,81.65029135138104,612.2575068352901,0.7375075430614147,0.12907409611994725,0.7281186531092182,-0.11679334103784679,36364.63650794862,-72189.9322273795,0.28015148478026136,0.16256410643766342,0.1243905584669376,763.395994646916,True,True,True,-1.603265860096276e-05,565.9148503447254,-3.2062644597521416e-05,557.4864297651308,836.9449427146045,0.3637185205120659,6.25951423631055e-06,0.004871594470244573,0.5793894466130637,True,,,,,,,,,,,1.0,6.25951423631055e-06,0.3637185205120659,noneSNR,,,,,,,,,,,,,,,,,
11,583.3817072442448,-0.0004679897055292573,468.55964402156724,32.831283285046084,636.1884212717828,0.8583155202234977,0.12907468262552496,1.4587915607796265,-0.06875133717220697,15660.089914807782,22222.6739345444,0.3303505672401308,0.3532393339995388,0.1282646377757247,783.7742293511467,True,True,True,1.3169692748191065e-05,294.70225700859146,-2.2169757276768735e-05,281.4736933082981,857.9312165310105,0.2613435722868189,8.16152945987782e-06,0.011603550127893193,0.579678151738654,True,,,,,,,,,,,1.0,8.16152945987782e-06,0.2613435722868189,s-SNR,,,,,,,,,,,,,,,,,
12,97.17333957089824,-0.0011619086507479008,-119.37607458928682,103.46988253806683,-281.76940720215964,0.9460772153804374,0.1290740269419239,0.5898061627499526,0.8670009115766941,1649.583495713956,-25223.9718775254,0.40892905773090177,0.29195169261693715,-0.18954360888019303,348.6403811363234,True,True,True,-2.0561484155983196e-07,-309.2114905809806,4.6132819581718625e-05,-308.4150626630833,322.92406677048336,0.056521721099841216,1.9257426472644757e-06,0.002297571978190246,0.5784822183485628,True,,,,,,,,,,,1.0,1.9257426472644757e-06,0.056521721099841216,noneSNR,,,,,,,,,,,,,,,,,
13,683.1817302386632,-0.00044166803569064964,-358.2230771704821,780.1829456135938,-725.7520552969991,0.9132971555426864,0.12907482189367994,2.57439233433344,2.1756658557054602,-132060.91177172284,70306.13888214987,0.44821956042723476,1.00620905953427,-0.330598889505497,803.2630307412414,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,421.2147437354639,7.736973647582137e-05,298.1799731930937,129.76742992701247,234.0579185091749,0.9421967778344471,0.1290741040286242,1.4643971330692307,-0.4353688379466273,27163.19941124758,60404.896437978416,0.35283185771901643,0.2935378102762031,0.09671504978462159,838.489150074475,True,True,True,7.737689834396028e-06,191.78160521498756,-7.697165443700895e-07,186.17508586370542,555.2795032458306,0.17648882872538252,8.47229019870668e-06,0.004242296804917246,0.5797219655453353,True,,,,,,,,,,,1.0,8.47229019870668e-06,0.17648882872538252,noneSNR,,,,,,,,,,,,,,,,,
15,388.7910949938561,-0.00012529888551622844,-107.68879148042316,-204.03622534662236,22.321206233162968,0.9743945711922989,0.1290741135899066,8.889349878257846,-1.895324372508069,18806.24895524534,105473.02102237423,0.3074278849447833,1.90645007414645,0.028047195811327627,466.6834052183832,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,616.8243238480811,-0.0005968907866932443,313.53636854307933,51.30891778685066,400.24062849062136,0.8990889897950752,0.12907516822093615,2.598654580191044,-0.16082482532788858,16006.084195083917,130056.38333631064,0.3444282845265651,0.6228595074931129,0.1265868974981835,643.9448413259325,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,235.08556028632137,-0.0012250632964632985,152.2757217196418,-237.63546901372553,112.58348963532165,0.8925944103164153,0.1290745864965847,0.5415033135450064,1.5618550309805497,-10254.263207649332,-4548.174820819979,0.4132972634499194,0.39568500021634323,-0.9971378838526419,301.4689656821999,True,True,True,2.5383735370399764e-05,101.7327997164858,2.770262333570778e-05,100.05514879758118,484.7613949625679,0.8950699152352399,5.879045958747363e-08,0.002458796754926196,0.5775482090799909,True,30.253673419374188,136.472065078793,0.00010589222359551135,135.3442842899374,153.02701275559616,0.16429756244474447,0.00010537897787129062,0.020283018325533204,0.5856708997083232,True,2.0,0.00010537897787129062,0.16429756244474447,noneSNR,,,,,,,,,,,,,,,,,
18,672.1624774903197,-0.0003485941537371438,673.4407743850136,-551.7873762639426,281.3766663117424,0.8118462984793713,0.12907453323512463,0.679636080659235,0.8202724696454704,-177766.33645479172,118767.51041309541,0.3479903711868645,0.30662109843905383,-0.1184281169352539,936.3886972795706,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,485.55137884626004,-0.00010523089166890333,-97.33513350780663,214.17270153736376,-402.4175195636334,0.9885353996485641,0.12907411614646755,10.990066231099712,2.1993972084164377,-2604.0876550478315,64922.63970933723,0.48498064942558206,3.1140827591776676,0.019035014045761328,637.2586389040732,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,796.1652254810563,0.0002971603517796568,-477.82341960621585,217.73697716176343,-928.3454139757082,0.8998458963547347,0.1290745463662427,2.329353347807392,0.4572466856777901,-44017.85676439813,88288.97211356997,0.3705213596283868,0.6585461178981463,0.10663542911508321,985.6937678700062,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,346.95652301435246,-0.000422280751400723,-187.01187444078758,-93.12246657531676,-308.7901536010214,0.9052825788598812,0.12907425009450052,2.7623489951657345,-0.49891003638722214,16514.47000838437,38832.31303159126,0.3331348256733254,0.6074355760602299,0.10654711604631292,398.5278859396035,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,228.4872568246189,0.0013718825162300978,-201.2841388536009,62.216579916180365,-67.29995885525608,0.8224703908457284,0.1290746636122907,0.6958464611726844,0.3101103477027118,1582.6853334694051,14676.690172609813,0.3310744641603165,0.22564667324362309,0.09452378453250501,291.04771033282685,True,True,True,2.278656765285588e-05,-138.7568926221225,-0.00010222587487299129,-138.15922189354595,363.48907245208943,0.07199799569212928,7.661032227678669e-07,0.0005807097534704903,0.5780644843408138,True,,,,,,,,,,,1.0,7.661032227678669e-07,0.07199799569212928,noneSNR,,,,,,,,,,,,,,,,,
23,384.6416100770451,0.0007059659294383579,426.66835879087705,-17.744591706081735,365.4820848111269,0.7472361254419942,0.12907463994994212,0.8311868718556265,0.04069958134720548,3957.3269199129795,-4652.436163574442,0.29032507456790574,0.21457998152177418,0.12857641988116872,479.75001276525916,True,True,True,6.964266737793216e-06,317.88030906969016,6.487573422897007e-05,313.20351805728444,626.9406977609601,0.19379127681736463,4.003046696846341e-06,0.0014509555923778257,0.5789815713517974,True,,,,,,,,,,,1.0,4.003046696846341e-06,0.19379127681736463,noneSNR,,,,,,,,,,,,,,,,,
