,ms,theta,u,lamh,lams,lammix,muh2,mus2,dmuh,dmus,dlam,dlams,dlammix,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2
1337,91.80467226800181,-0.310428447292189,582.1743375920732,0.123517316266332,0.01342728836929471,-0.014650546968592297,5004.200287341295,4106.8526692335445,1087.8602920472467,0.0635517632338248,-0.01086064916500682,1.981718627928105e-05,-5.3832059939185216e-05,0.3956497005882182,0.0009150642642249617,0.11952100441661853,True,24.402078140671808,550.7006984167546,-0.00011453425409481004,550.4146046504123,157.09393894821775,0.03286949702632569,0.00023384070015458047,1.0,0.00023384070015458047,0.03286949702632569,h-sym,,,,,,,,,,,,,,
1513,86.13959845171583,-0.3432602318738667,717.4167081499884,0.12138663703233027,0.008113646543976975,-0.014762622314362006,3558.7201014720367,3728.5721912551835,1083.9816700080087,-0.2080600217034744,-0.010890826425034436,7.851140597509473e-06,-5.125311222320679e-05,0.3945796911651435,-0.000432025416399424,0.11467156088206712,True,24.406609589805235,676.5593929084647,0.0004219409771229935,676.1708197473167,154.48044641593384,0.05470380985008205,0.00024191902538216441,1.0,0.00024191902538216441,0.05470380985008205,h-sym,,,,,,,,,,,,,,
2956,96.62644010777922,-0.30713197876165443,-28.67064931992377,0.12431601072919615,6.0300561577779455,0.2576459095804713,7641.238632219033,12765.274404322361,1107.0032862049827,-1477.9527298473126,-0.01066014450829423,3.730866866829722,0.05465346954647645,0.4073947335091946,1.550455024374565,0.12156390473769865,True,25.841548798221652,28.15476040154477,0.00014829913300158849,28.399235123354522,159.40936474769578,0.001160063434639369,0.0002485483401496528,1.0,0.0002485483401496528,0.001160063434639369,h-sym,,,,,,,,,,,,,,
2447,88.38634304450302,0.39817034823123176,984.8237691783286,0.119357428494711,0.004634648735370234,0.011549632954401905,12835.65031370349,4845.0804472116415,1115.048332051796,-0.10714876202187693,-0.010918616169120942,2.591969738883363e-06,4.036527087677864e-05,0.39466143086586575,0.003083601009576209,0.11216195214914766,True,25.338555263885326,1019.5578930537836,-0.00015363195401552678,1019.9378470098918,153.4214246468231,0.04171573280410712,0.0002629755497923301,1.0,0.0002629755497923301,0.04171573280410712,h-sym,,,,,,,,,,,,,,
877,74.8508079133838,0.3460133261449747,-752.0826361882191,0.11954345865402778,0.005973916122148623,-0.01730806405197971,2351.094451181641,2854.456665668653,1080.6364309028058,-0.4243848485824048,-0.010918714089951414,5.079123429624082e-06,-5.827327230852316e-05,0.3935520419035916,-0.001391198311459462,0.10700691331667517,True,24.845532457469467,690.6787143154854,-0.00018933657437631487,690.0492427918921,150.15350815599302,0.08828455863212525,0.00026558589217918333,1.0,0.00026558589217918333,0.08828455863212525,h-sym,,,,,,,,,,,,,,
4251,96.48799477388796,-0.3877537065700909,947.4335878943518,0.1216000980423773,0.0056905367189111255,-0.00951049285064124,3102.26807942224,4819.762171826307,1082.580618791214,-0.095357854014228,-0.010885899646097572,3.4692771419454484e-06,-3.238348138698002e-05,0.3949052603978221,-0.0001624479620457582,0.11762641863699225,True,25.90807769398115,919.37474709483,7.604287477017092e-05,919.0793446886804,156.14316384129023,0.006925080966482256,0.0002664272420086128,1.0,0.0002664272420086128,0.006925080966482256,h-sym,,,,,,,,,,,,,,
95,422.8525025384203,0.3699285666681802,316.50092501706416,0.30500122977742866,0.7860254163457183,-0.705812554472752,-16864.143727183317,57347.17839206454,938.8922746038127,3234.317714818267,-0.011981553266437002,-0.034247819637020005,-0.0016191901158678118,0.4575932403644266,0.07887092834097091,0.14655490231406826,True,4.623910089584745e-06,172.17019193943366,-1.586493846086815e-05,106.17249261529844,506.70264472950487,31.807779211158792,0.00029513657416649363,1.0,0.00029513657416649363,31.807779211158792,s-sym,,,,,,,,,,,,,,
413,58.49200865766561,0.346705881708576,-910.2105516058065,0.11742919343344545,0.002916784127953525,-0.01743589218521164,-104.7674972901259,1888.073368430751,1073.2472984653025,-0.6670983603352849,-0.010952511125963613,1.9270327644316084e-06,-5.6168050785194445e-05,0.3924895831210825,-0.002176785998880225,0.09137221398639052,True,25.7286526464225,805.8612992824344,1.875475158869851e-05,804.6633675954275,140.86047904267298,0.13294453533569595,0.00032321393924838733,1.0,0.00032321393924838733,0.13294453533569595,nonesym,,,,,,,,,,,,,,
3360,433.0681018793779,-0.3600014393395852,-304.7215273618698,0.3050430515936185,0.8950249686226268,-0.755433366462392,-16582.947905783632,60212.645501748986,983.40786005684,3942.326873664512,-0.012160850387348621,-0.04691059908073916,-0.0006034587677597313,0.4555466174396198,0.09785068107859138,0.1456397971673946,True,-3.5116496855229667e-06,167.28382666673932,2.239896005538709e-06,95.56007229965559,489.28598106315246,35.751280089598254,0.00036315856420082254,1.0,0.00036315856420082254,35.751280089598254,s-sym,,,,,,,,,,,,,,
3567,41.405384609102214,-0.2812875040402805,-870.2741766472698,0.12021767879119295,0.0018406017702255468,0.017341997136143917,13854.143396474858,1919.6174317302866,1117.8883299498457,-0.2448425630837892,-0.0109158518177926,1.1376235900550065e-06,6.188134088838738e-05,0.3953329045216793,0.003350483298580373,0.07936896431978795,True,27.06741730438056,1015.6457333111251,7.439820818993993e-05,1017.3008933263372,133.57093581949172,0.16822393437152527,0.00039484190941881277,1.0,0.00039484190941881277,0.16822393437152527,nonesym,,,,,,,,,,,,,,
