,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
607,162.56566842973973,0.013620527442439662,-224.49833748737416,-95.01332295829877,0.6436044530275922,0.926948129591685,0.1290905919864642,0.3879788587109081,-0.42056885911714564,18556.856135009475,19778.93213688952,0.3463312841804754,0.02689990482486941,0.015116491795290204,554.6485468624255,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,468.402115972487,-0.0035478844511511454,497.1202898331536,217.32151538139794,454.13389443923904,0.8339088300582361,0.12909525211576772,0.9274651180581198,-0.43125445750651403,62572.31972308441,3622.972315999732,0.30493115645279667,0.15999053659677762,0.07896387695725118,751.1348612601122,True,False,True,-9.155379351703018e-06,386.02047842246975,-1.0651952132405676e-05,380.28399747733005,683.4572407585965,0.21882560934011508,6.516348529897286e-06,0.0025194099635021303,0.5794307858184433,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,235.90635686537874,-0.003056036653133337,-158.8846660355528,212.83546683756578,-112.88055578511094,0.8500304778855562,0.1290771779249921,0.6533762368397397,1.3364342134369926,-9123.65331349412,-1535.658759431135,0.3853627831013676,0.38608309478276703,-0.5543178960540444,256.40443788356566,True,False,True,24.97265335967404,-145.036573369152,7.158095477047677e-05,-144.86654554088915,155.7673471838661,0.06779525370021133,6.621366008503252e-05,0.015257237085228356,0.583955910993292,True,1.0,6.621366008503252e-05,0.06779525370021133,h-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,293.8279359445905,-0.0014924476047358526,-134.87280259695422,-91.88297661924972,18.458230970201953,0.9304243362094481,0.12907539481410113,2.872136098914997,-0.6844336002958206,13991.193476371134,54639.31322140345,0.3369434739928329,0.6039617580127792,0.0883000505162748,342.4131005015461,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,391.4890750913854,0.004938691111450691,-522.910598731172,408.4987453274814,-137.87912015585755,0.8614848029390599,0.12910178353309634,0.3687939925634587,0.7864809719904614,-98256.98453499681,28902.908821377394,0.3673614306019653,0.22327866013927491,-0.2902056969138812,887.1490780689871,True,False,True,0.00010013111204678931,-444.42225856733364,-1.838416901504107e-05,-437.8764383599172,697.8746628029378,0.3088776058677922,3.4100398663254796e-06,0.005308005712203004,0.5788560656541467,True,1.0,3.4100398663254796e-06,0.3088776058677922,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,293.97868855686414,-0.0019848543702310345,-344.65265716653164,-152.3305014153276,-423.3528732855549,0.9280490426576743,0.12907639608588342,1.0343360265171926,-0.4436382243208258,33976.121582018764,-23095.7933719649,0.3458735103361072,0.1846443025758272,0.08150605409043715,858.7667708574152,True,False,True,-3.016364048682588e-06,-271.745453218664,3.872612398678566e-05,-269.98677299541805,434.1340500208317,0.00310479593645141,3.2908950934281154e-06,0.0029274800794449195,0.5788295600865989,True,1.0,3.2908950934281154e-06,0.00310479593645141,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,759.8065554201659,-0.003913284712744922,-786.653710795424,285.61593786111916,-325.7608665676878,0.7631641608912922,0.12914504514423425,0.6646109857136363,0.3517286070218105,-108023.72035833255,154672.33357121857,0.30933424722733033,0.22477418093204415,0.08260917090471034,929.0337188933556,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,122.75538289998295,-0.09179947235991669,-137.75967566354578,29.18546924427301,-21.03591178131262,0.912661374624313,0.12903398624242501,0.30432579041781177,0.2134151954586364,5825.809830608422,2924.7104546660116,0.36614847102685094,0.11165064684755902,0.09161845403423015,307.61645467613073,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,335.70505699381505,0.003466007611092725,144.7748118279137,139.86102656030312,-416.7810160131453,0.9575321075565512,0.12908371323543358,1.947444683335235,-0.9754962940459357,17849.613451450048,100871.32468329178,0.3376145938616356,0.32427845515948617,0.006924528453399567,480.7967829995307,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,98.39603163430347,0.0027461037095310725,47.14829862281988,-2.488083820286761,254.15933873717444,0.9834433265045117,0.12907372494111707,4.513268352140431,0.05418276021745999,7766.645747279097,-1907.5830151385674,0.39308615350326115,1.137347548071351,0.1289111060097948,255.86973721166083,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,127.7827734444276,-0.002645133240238254,-108.12606312960781,-116.25102329856009,-228.88890268385381,0.9682337891136414,0.12907413534024054,3.1503014708570065,-1.0752110609798224,14108.243662075758,12080.041469201216,0.3386072563033777,0.6083735242176146,0.03733062790546983,418.68709603221987,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,714.9850817246855,-0.0008419017795095324,-233.45657208962086,-209.4888887669008,242.39022461081186,0.9613016220184567,0.12907699344769893,4.420128872993721,-0.9045942994375199,32079.40137630054,297273.33525199397,0.3423737516165253,0.9542665016755103,0.08279492396017317,814.6052497956848,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,117.32246280881067,0.028443025185041992,143.35019396771582,-27.896016799239902,115.54140128104416,0.8918512912910084,0.1290615338132376,0.5944531415279402,0.1961171600372077,5839.126210463786,-4301.333052219754,0.35605347859793907,0.18129947872151966,0.11288618803148266,282.6419126567208,True,False,True,25.429698889586856,115.26875670869487,0.00036266251119617163,115.92352822710868,162.6663447274088,0.0698456241789529,5.475768188579968e-05,0.015321850163457244,0.5833605206571598,True,1.0,5.475768188579968e-05,0.0698456241789529,h-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,113.00591336321145,-0.04288437321714516,730.3679152686991,367.4362704622117,728.5735796131455,0.7396963360442906,0.1290304754476341,0.5250377798271592,-0.5037691401822442,141820.14998495695,-252072.80575419578,0.26481400618430406,0.04729792159308242,0.008189958654965274,802.8201958347984,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,171.89937410088353,0.018800643971791556,161.60636074022636,129.4232281262723,113.86592306639909,0.9778541071407372,0.1291146246713823,1.3825991429169964,-0.8074222531070036,18198.259163824296,17508.31168267555,0.3544658640813116,0.21107941021141516,0.011233260041546053,755.0727385176724,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
